선수,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,팀,pid,연봉(만원),연도,포지션구분,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid_new
박세웅,투수,-0.02,5,0,5,2,0,0,0,0,0,0,2.2,2,2,2.0,14,1,0,0,0,5,1,0,2,0,0,0,6.75,6.75,6.75,7.05,8.88,2.25,-0.02,삼성 라이온즈,12651,3300,2022,투수,,,,,,,,,,,,,,,,,,,,,
박정준,투수,-0.05,8,0,8,2,0,0,0,0,0,0,10.0,7,7,8.7,45,10,2,0,2,5,1,0,4,0,0,0,6.3,6.3,7.83,7.66,7.02,1.5,-0.05,삼성 라이온즈,11220,3000,2022,투수,,,,,,,,,,,,,,,,,,,,,
임대한,투수,-0.1,12,0,12,0,0,0,2,1,0,1,13.2,8,11,10.15,65,12,5,0,1,9,1,2,8,3,0,1,5.27,7.24,6.68,6.39,5.01,1.54,-0.1,삼성 라이온즈,12558,4000,2022,투수,,,,,,,,,,,,,,,,,,,,,
김서준,투수,-0.13,3,0,3,2,0,0,0,0,0,0,2.2,3,4,4.5,19,6,2,0,1,4,1,0,2,0,0,0,10.13,13.5,15.19,14.78,12.18,3.75,-0.13,삼성 라이온즈,15039,3000,2022,투수,,,,,,,,,,,,,,,,,,,,,
이상민,투수,-0.14,46,0,46,6,0,0,0,0,0,9,29.1,12,13,19.75,138,30,6,1,5,15,3,1,23,2,0,2,3.68,3.99,6.06,5.99,5.75,1.53,-0.14,삼성 라이온즈,11169,5500,2022,투수,,,,,,,,,,,,,,,,,,,,,
이재익,투수,-0.15,42,0,42,9,0,0,3,2,0,7,33.1,22,25,23.95,149,41,7,0,4,9,1,0,21,3,0,0,5.94,6.75,6.47,6.22,4.57,1.5,-0.15,삼성 라이온즈,13244,3700,2022,투수,,,,,,,,,,,,,,,,,,,,,
양창섭,투수,-0.17,6,6,0,0,0,0,2,3,0,0,20.1,19,19,17.45,96,24,5,1,3,12,1,0,10,0,0,0,8.41,8.41,7.72,7.73,6.29,1.77,-0.17,삼성 라이온즈,13157,4700,2022,투수,,,,,,,,,,,,,,,,,,,,,
김승현,투수,-0.35,6,0,6,1,0,0,0,1,0,2,4.0,5,7,6.5,24,6,1,0,2,4,0,0,5,1,0,1,11.25,15.75,14.63,13.89,9.71,2.5,-0.35,삼성 라이온즈,12637,5500,2022,투수,,,,,,,,,,,,,,,,,,,,,
황동재,투수,-0.46,16,13,3,2,0,0,1,3,0,0,66.1,52,58,57.5,312,91,20,2,9,31,0,0,53,3,1,1,7.06,7.87,7.8,7.41,4.85,1.84,-0.46,삼성 라이온즈,14615,3100,2022,투수,,,,,,,,,,,,,,,,,,,,,
김광현,투수,7.39,28,28,0,0,0,0,13,3,0,0,173.1,41,48,48.0,694,141,16,2,10,45,5,2,153,9,0,1,2.13,2.49,2.49,2.44,3.14,1.07,7.39,SSG 랜더스,10126,810000,2022,투수,,,,,,,,,,,,,,,,,,,,,
폰트,투수,6.5,28,28,0,1,1,0,13,6,0,0,184.0,55,63,63.0,729,141,22,3,18,34,6,1,170,7,0,5,2.69,3.08,3.08,3.01,3.31,0.95,6.5,SSG 랜더스,14759,110000,2022,투수,,,,,,,,,,,,,,,,,,,,,
모리만도,투수,3.43,12,12,0,0,0,0,7,1,0,0,75.1,14,19,19.0,304,57,8,0,2,23,4,0,67,5,0,2,1.67,2.27,2.27,2.23,2.99,1.06,3.43,SSG 랜더스,15149,18000,2022,투수,,,,,,,,,,,,,,,,,,,,,
노경은,투수,2.8,41,8,33,7,0,0,12,5,1,7,79.2,27,28,29.05,323,69,10,0,5,23,4,0,55,5,0,5,3.05,3.16,3.28,3.13,3.86,1.15,2.8,SSG 랜더스,10203,10000,2022,투수,,,,,,,,,,,,,,,,,,,,,
이태양,투수,2.77,30,17,13,3,0,0,8,3,0,1,112.0,45,50,49.3,472,116,18,0,15,24,5,2,61,7,0,0,3.62,4.02,3.96,3.78,4.76,1.25,2.77,SSG 랜더스,10609,12000,2022,투수,,,,,,,,,,,,,,,,,,,,,
오원석,투수,2.53,31,24,7,0,0,0,6,8,0,0,144.0,72,79,72.75,633,158,21,2,16,58,3,1,112,9,0,7,4.5,4.94,4.55,4.46,4.48,1.5,2.53,SSG 랜더스,14581,6500,2022,투수,,,,,,,,,,,,,,,,,,,,,
서진용,투수,1.36,68,0,68,40,0,0,7,3,21,12,67.1,30,32,31.85,297,64,10,1,5,36,3,3,55,2,0,6,4.01,4.28,4.26,4.04,4.33,1.49,1.36,SSG 랜더스,10784,18500,2022,투수,,,,,,,,,,,,,,,,,,,,,
최민준,투수,0.82,51,1,50,10,0,0,5,4,0,5,68.1,30,37,36.8,288,51,8,1,10,34,2,2,48,8,0,7,3.95,4.87,4.85,4.64,5.4,1.24,0.82,SSG 랜더스,13126,6500,2022,투수,,,,,,,,,,,,,,,,,,,,,
김택형,투수,0.79,64,0,64,24,0,0,3,5,17,10,60.1,33,33,32.15,261,57,9,0,8,22,3,1,62,2,0,6,4.92,4.92,4.8,4.52,4.03,1.31,0.79,SSG 랜더스,11373,12500,2022,투수,,,,,,,,,,,,,,,,,,,,,
장지훈,투수,0.58,40,0,40,12,0,0,2,0,0,6,55.0,26,26,30.65,231,56,8,2,6,11,3,2,33,3,0,4,4.25,4.25,5.02,4.77,4.37,1.22,0.58,SSG 랜더스,14804,10500,2022,투수,,,,,,,,,,,,,,,,,,,,,
고효준,투수,0.36,45,0,45,6,0,0,1,0,0,7,38.2,16,18,21.1,174,35,6,2,1,20,2,2,35,5,0,7,3.72,4.19,4.91,4.84,3.51,1.42,0.36,SSG 랜더스,10124,4000,2022,투수,,,,,,,,,,,,,,,,,,,,,
서동민,투수,0.32,20,0,20,2,0,0,1,1,0,5,21.0,6,11,10.65,86,13,3,0,3,11,1,0,19,2,0,3,2.57,4.71,4.56,4.37,4.99,1.14,0.32,SSG 랜더스,13191,4000,2022,투수,,,,,,,,,,,,,,,,,,,,,
박민호,투수,0.17,22,0,22,11,0,0,1,1,1,4,22.0,10,10,12.75,101,26,2,0,3,11,2,1,12,0,0,0,4.09,4.09,5.22,5.0,5.88,1.68,0.17,SSG 랜더스,11236,12000,2022,투수,,,,,,,,,,,,,,,,,,,,,
박종훈,투수,0.15,11,11,0,0,0,0,3,5,0,0,48.0,32,34,32.95,220,52,4,1,6,21,8,0,40,3,0,3,6.0,6.38,6.18,6.03,5.06,1.52,0.15,SSG 랜더스,10131,180000,2022,투수,,,,,,,,,,,,,,,,,,,,,
