팀,선수,WAR,연봉등급,pid,연도
LG 트윈스,안시후,-,E,16283,2025
LG 트윈스,우정안,-,E,16282,2025
LG 트윈스,김종운,-0.04,E,16281,2025
LG 트윈스,박시원,0.04,E,16280,2025
LG 트윈스,박건우,-,E,16389,2025
LG 트윈스,박관우,-0.01,E,16279,2025
LG 트윈스,서영준,-,E,16278,2025
LG 트윈스,이태훈,-,E,16277,2025
LG 트윈스,이한림,-,E,16276,2025
LG 트윈스,추세현,-,E,16275,2025
LG 트윈스,김영우,0.37,E,16274,2025
LG 트윈스,고영웅,-,E,16284,2025
LG 트윈스,성준서,-,E,16285,2025
LG 트윈스,박민호,-,E,14845,2025
LG 트윈스,조건희,-,E,14782,2025
LG 트윈스,백선기,-,E,13174,2025
LG 트윈스,전경원,-,E,13129,2025
LG 트윈스,김주온,-0.02,E,13057,2025
LG 트윈스,허용주,-,E,15491,2025
LG 트윈스,심규빈,-,E,16022,2025
LG 트윈스,김도윤,-,E,16021,2025
LG 트윈스,코엔 윈,-0.13,E,15265,2025
LG 트윈스,김웅,-,E,16388,2025
롯데 자이언츠,박세웅,1.51,A,11310,2025
롯데 자이언츠,반즈,0.29,A,15011,2025
롯데 자이언츠,레이예스,3.26,A,16106,2025
롯데 자이언츠,김원중,1.86,A,10825,2025
롯데 자이언츠,유강남,1.78,A,10753,2025
롯데 자이언츠,한현희,0.09,A,10863,2025
롯데 자이언츠,데이비슨,3.46,A,16273,2025
롯데 자이언츠,노진혁,-,B,11165,2025
롯데 자이언츠,전준우,1.22,B,10266,2025
롯데 자이언츠,감보아,2.11,B,16391,2025
롯데 자이언츠,구승민,-0.15,B,11291,2025
롯데 자이언츠,김상수,-0.48,C,10427,2025
롯데 자이언츠,윤동희,2.32,C,15048,2025
롯데 자이언츠,정훈,0.25,C,10253,2025
롯데 자이언츠,김민성,-0.29,C,10238,2025
롯데 자이언츠,고승민,2.28,C,14160,2025
롯데 자이언츠,박승욱,-0.17,C,10804,2025
롯데 자이언츠,황성빈,0.44,C,14642,2025
롯데 자이언츠,손호영,0.09,C,14590,2025
롯데 자이언츠,나승엽,0.05,C,14797,2025
롯데 자이언츠,나균안,1.62,C,12930,2025
롯데 자이언츠,정철원,0.83,C,13071,2025
롯데 자이언츠,최준용,0.29,C,14624,2025
롯데 자이언츠,김진욱,-0.58,C,14792,2025
롯데 자이언츠,정보근,0.13,D,13154,2025
롯데 자이언츠,전민재,0.55,D,13073,2025
롯데 자이언츠,진해수,-,D,10075,2025
롯데 자이언츠,손성빈,0.01,D,14796,2025
롯데 자이언츠,박진,-0.37,D,14163,2025
롯데 자이언츠,박진형,-0.06,D,11425,2025
롯데 자이언츠,심재민,0.05,D,11311,2025
롯데 자이언츠,최항,-0.03,D,10810,2025
롯데 자이언츠,박시영,-0.26,D,10737,2025
롯데 자이언츠,신윤후,-,E,14169,2025
롯데 자이언츠,장두성,1.53,E,13155,2025
롯데 자이언츠,진승현,-,E,15047,2025
롯데 자이언츠,이민석,1.40,E,15045,2025
롯데 자이언츠,김도규,-,E,13148,2025
