Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉(만원)
배정대,24 CF,-0.559,113,110,958.0,276,266,3,7,97.5,2.53,-5.7,1.1,-1.52,,,,,,-6.12,-7.8,0.0,-6.12,-0.559,112128,0.88,113,1.41,-0.52,473,464,404,49,111,25,1,7,159,59,9,7,50,4,1,114,5,8,7,0.275,0.355,0.394,0.749,0.129,94.1,32000
오재일,24 1B,-0.783,55,43,406.1,360,339,18,3,99.2,7.91,-4.5,,0.5,,-0.42,,,,-4.41,-6.05,-4.16,-8.57,-0.403,104008,-0.45,83,-0.01,-0.43,272,272,232,27,57,13,0,8,94,37,0,0,30,2,0,70,3,0,8,0.246,0.327,0.405,0.732,0.116,84.3,50000
박시영,24 P,,24,0,25.1,5,2,3,0,100.0,1.78,,,,,,,,,0.0,0.0,,,0.0,107378,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,9000
주권,24 P,,48,1,58.0,18,5,12,1,94.4,2.64,,,,,,,,,0.0,0.0,,,0.0,113238,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20000
김영현,24 P,,8,0,7.1,2,0,1,1,50.0,1.23,,,,,,,,,0.0,0.0,,,0.0,148698,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,4100
김민,24 P,,70,1,77.1,13,4,9,0,100.0,1.51,,,,,,,,,0.0,0.0,,,0.0,131678,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5000
이선우,24 P,,6,1,10.0,2,2,0,0,100.0,1.8,,,,,,,,,0.0,0.0,,,0.0,141118,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,4000
박영현,24 P,,66,0,76.2,10,4,5,1,90.0,1.06,,,,,,,,,0.0,0.0,,,0.0,150898,0.0,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16000
강건,24 P,,4,1,4.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,155278,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3500
박세진,24 P,,6,0,5.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,125728,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3500
성재헌,24 P,,29,1,32.0,10,1,8,1,90.0,2.53,,,,,,,,,0.0,0.0,,,0.0,146678,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
