Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
김태군,21 C,0.983,100,76,666.0,622,568,48,6,99.0,8.32,0.41,,-0.84,,0.25,0.88,3.81,,3.36,4.74,6.55,9.91,0.333,104595
박민우,21 2B,0.689,49,48,384.0,215,103,109,3,98.6,4.97,4.6,,0.48,-0.27,,,,,4.81,13.86,2.14,6.95,0.477,111375
양의지,21 C,0.34,45,38,302.1,275,252,20,3,98.9,8.1,-0.49,,-0.02,,0.14,1.07,-1.49,,-0.34,-0.34,3.77,3.43,-0.033,101655
알테어,21 CF,0.332,134,129,1078.2,325,319,4,2,99.4,2.69,2.77,0.47,0.11,,,,,,3.35,3.37,0.0,3.35,0.332,145995
김민수,21 3B,0.07,7,1,17.0,3,0,3,0,100.0,1.59,0.69,,0.01,,,,,,0.7,14.49,0.0,0.7,0.07,129035
모창민,21 1B,0.042,3,2,16.0,16,15,1,0,100.0,9.0,0.53,,0.01,,,,,,0.55,26.29,-0.12,0.43,0.054,100935
박석민,21 3B,0.025,47,44,330.2,118,29,81,8,93.2,2.99,2.32,,-0.75,-0.89,-0.42,,,,0.25,0.62,0.0,0.25,0.025,103225
최우재,21 LF,0.023,1,0,2.0,1,1,0,0,100.0,4.5,0.24,,0.0,,,,,,0.24,17.23,-0.01,0.23,0.024,126215
정범모,21 C,-0.012,19,3,53.2,46,45,1,0,100.0,7.71,-0.09,,0.17,,,-0.39,-0.41,,-0.6,-4.53,0.48,-0.12,-0.059,107725
박대온,21 C,-0.03,41,27,234.2,219,204,13,2,99.1,8.32,0.64,,-0.24,,-0.04,-1.56,-1.91,,-2.53,-8.68,2.23,-0.3,-0.251,112465
최보성,21 3B,-0.111,8,3,34.0,11,3,6,2,81.8,2.38,-0.76,,0.03,-0.39,,,,,-1.12,-16.08,0.0,-1.12,-0.111,130875
윤형준,21 1B,-0.4,25,11,103.0,103,90,7,6,94.2,8.48,-2.79,,-0.41,,0.07,,,,-3.14,-8.86,-0.9,-4.04,-0.311,111355
이명기,21 LF,-0.692,49,48,380.0,84,80,3,1,98.8,1.97,-4.59,-0.11,-0.15,,,,,,-4.85,-12.48,-2.12,-6.97,-0.481,101195
나성범,21 RF,-0.795,131,130,1071.2,241,231,5,5,97.9,1.98,-3.61,1.22,-0.02,,,,,,-2.41,-2.41,-5.61,-8.02,-0.239,111625
김건태,21 P,,6,0,6.2,2,2,0,0,100.0,2.7,,,,,,,,,0.0,0.0,,,0.0,104325
손정욱,21 P,,15,0,12.1,1,1,0,0,100.0,0.73,,,,,,,,,0.0,,,,0.0,111425
김진성,21 P,,41,0,37.2,6,1,5,0,100.0,1.43,,,,,,,,,0.0,0.0,,,0.0,111665
오태양,21 2B,,1,0,1.0,1,1,0,0,100.0,9.0,0.68,,0.0,,,,,,0.68,98.22,,,0.068,147665
이용찬,21 P,,38,0,37.0,6,1,4,1,83.3,1.22,,,,,,,,,0.0,0.0,,,0.0,102175
원종현,21 P,,61,0,53.0,9,3,5,1,88.9,1.36,,,,,,,,,0.0,0.0,,,0.0,111615
이우석,21 P,,10,0,9.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,113605
김영규,21 P,,37,8,63.2,21,5,16,0,100.0,2.97,,,,,,,,,0.0,0.0,,,0.0,130885
안인산,21 P,,7,0,6.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,145985
임창민,21 P,,46,0,40.1,8,3,5,0,100.0,1.79,,,,,,,,,0.0,0.0,,,0.0,104525
임정호,21 P,,57,0,34.2,8,2,6,0,100.0,2.08,,,,,,,,,0.0,0.0,,,0.0,111685
