선수,연봉(만원),팀,pid,연도,팀연봉순위,전체연봉순위,계약금(만원),계약금(만원)분할,연봉 총수령액(만원)
서준원,8500,롯데 자이언츠,14159,2021,22,265,0,0,8500
서진용,17000,SSG 랜더스,10784,2021,16,143,0,0,17000
소이현,3100,NC 다이노스,12900,2021,51,573,0,0,3100
소형준,14000,KT 위즈,14600,2021,17,167,0,0,14000
손성빈,18000,롯데 자이언츠,14796,2021,12,132,0,0,18000
손아섭,50000,롯데 자이언츠,10261,2021,5,57,0,0,50000
손정욱,4400,NC 다이노스,11142,2021,44,442,0,0,4400
손호영,3700,LG 트윈스,14590,2021,54,478,0,0,3700
송명기,11000,NC 다이노스,14155,2021,25,197,0,0,11000
송민섭,5700,KT 위즈,11342,2021,46,387,0,0,5700
송성문,6000,키움 히어로즈,11376,2021,34,348,0,0,6000
송승기,6000,LG 트윈스,14846,2021,40,348,0,0,6000
송승준,5000,롯데 자이언츠,10285,2021,32,401,0,0,5000
송우현,3000,키움 히어로즈,11377,2021,54,618,0,0,3000
송윤준,4000,한화 이글스,10748,2021,38,455,0,0,4000
송은범,27000,LG 트윈스,10137,2021,11,98,0,0,27000
송재영,9000,롯데 자이언츠,14794,2021,21,249,0,0,9000
송준석,5000,삼성 라이온즈,11200,2021,46,401,0,0,5000
송호정,13000,한화 이글스,14812,2021,13,174,0,0,13000
송후섭,3000,KIA 타이거즈,12867,2021,70,618,0,0,3000
수아레즈,78000,LG 트윈스,14753,2021,4,38,0,0,78000
스미스,65000,키움 히어로즈,14754,2021,5,46,0,0,65000
스트레일리,156000,롯데 자이언츠,14627,2021,1,5,0,0,156000
신동민,3000,SSG 랜더스,13272,2021,45,618,0,0,3000
신민재,5500,LG 트윈스,13056,2021,43,390,0,0,5500
신민혁,4000,NC 다이노스,13085,2021,46,455,0,0,4000
신범준,20000,KT 위즈,14774,2021,11,119,0,0,20000
신본기,9200,KT 위즈,10840,2021,25,248,0,0,9200
신성현,4300,두산 베어스,11492,2021,42,444,0,0,4300
신용수,3400,롯데 자이언츠,14169,2021,48,509,0,0,3400
신재영,14000,SSG 랜더스,11149,2021,19,167,0,0,14000
신재웅,5500,SSG 랜더스,10921,2021,39,390,0,0,5500
신정락,8000,한화 이글스,10516,2021,21,271,0,0,8000
신준우,3000,키움 히어로즈,14695,2021,54,618,0,0,3000
신지후,3000,한화 이글스,14620,2021,66,618,0,0,3000
신창희,3000,두산 베어스,12608,2021,64,618,0,0,3000
심동섭,8000,KIA 타이거즈,10056,2021,29,271,0,0,8000
심우준,15500,KT 위즈,11334,2021,16,162,0,0,15500
심재민,6300,KT 위즈,11311,2021,40,345,0,0,6300
심창민,28000,삼성 라이온즈,10720,2021,13,97,0,0,28000
안권수,3500,두산 베어스,14571,2021,46,491,0,0,3500
안상현,2700,SSG 랜더스,12613,2021,80,809,0,0,2700
안승한,3700,KT 위즈,11328,2021,54,478,0,0,3700
안영명,7000,KT 위즈,10600,2021,32,305,0,0,7000
안우진,9000,키움 히어로즈,13091,2021,26,249,0,0,9000
안익훈,5500,LG 트윈스,11347,2021,43,390,0,0,5500
안인산,3000,NC 다이노스,14598,2021,55,618,0,0,3000
안재석,23000,두산 베어스,14771,2021,12,109,0,0,23000
안주형,3300,삼성 라이온즈,12988,2021,61,521,0,0,3300
안중열,4700,롯데 자이언츠,11329,2021,37,425,0,0,4700
안진,6000,한화 이글스,14876,2021,30,348,0,0,6000
안찬호,3000,두산 베어스,14834,2021,64,618,0,0,3000
안창호,3000,한화 이글스,14878,2021,66,618,0,0,3000
