,Unnamed: 0,선수,팀,G,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,연도,기존pid,포지션,연봉(만원),팀연봉순위,전체연봉순위,계약금(만원)분할,연봉 총수령액(만원)
85,85,허도환,KT 위즈,57,33,290.1,0.35,252.0,238.0,13.0,1.0,99.6,7.78,-0.17,,0.44,,-0.05,-0.08,0.8,,0.7,1.63,2.83,3.53,0.069,106848,2021,10684,포수,7500.0,30.0,295.0,0.0,7500.0
86,86,이홍구,KT 위즈,35,13,143.1,0.246,129.0,122.0,7.0,0.0,100.0,8.1,-0.12,,0.46,,,0.49,0.6,,1.26,4.89,1.22,2.48,0.125,110718,2021,11071,포수,7000.0,32.0,305.0,0.0,7000.0
87,87,박경수,KT 위즈,97,60,522.0,0.094,305.0,121.0,181.0,3.0,99.0,5.21,-0.48,,0.66,-1.6,,,,,-1.42,-1.73,2.37,0.95,-0.141,104698,2021,10469,2루수,40000.0,7.0,71.0,0.0,40000.0
88,88,고영표,KT 위즈,26,25,166.2,0.0,38.0,10.0,28.0,0.0,100.0,2.05,,,,,,,,,0.0,0.0,0.0,0.0,0.0,113088,2021,11308,투수,12000.0,21.0,185.0,0.0,12000.0
89,89,김준태,KT 위즈,7,1,16.0,-0.001,17.0,13.0,3.0,1.0,94.1,9.0,0.0,,-0.45,,,0.43,-0.22,,-0.17,-0.43,0.17,-0.01,-0.017,108358,2021,10835,포수,6500.0,38.0,340.0,0.0,6500.0
90,90,김건형,KT 위즈,11,11,85.0,-0.147,10.0,9.0,1.0,0.0,100.0,1.06,-1.62,0.4,0.12,,,,,,-1.1,-14.34,-0.39,-1.49,-0.109,147798,2021,14779,우익수,7000.0,32.0,305.0,0.0,7000.0
91,91,알몬테,KT 위즈,35,33,241.0,-0.371,55.0,52.0,1.0,2.0,96.4,1.98,-1.67,-0.44,-0.28,,,,,,-2.4,-5.76,-1.34,-3.74,-0.238,147528,2021,14752,좌익수,68250.0,4.0,45.0,0.0,68250.0
92,92,안영명,KT 위즈,35,0,35.1,,8.0,1.0,7.0,0.0,100.0,2.04,,,,,,,,,0.0,0.0,,,0.0,106008,2021,10600,투수,7000.0,32.0,305.0,0.0,7000.0
93,93,김민수,KT 위즈,55,1,58.0,,15.0,6.0,7.0,2.0,86.7,2.02,,,,,,,,,0.0,0.0,,,0.0,113178,2021,11317,투수,7000.0,32.0,305.0,0.0,7000.0
94,94,이대은,KT 위즈,31,0,31.0,,6.0,4.0,2.0,0.0,100.0,1.74,,,,,,,,,0.0,0.0,,,0.0,119078,2021,11907,투수,5000.0,48.0,401.0,0.0,5000.0
95,95,유원상,KT 위즈,11,0,13.1,,2.0,0.0,2.0,0.0,100.0,1.35,,,,,,,,,0.0,0.0,,,0.0,106048,2021,10604,투수,8000.0,27.0,271.0,0.0,8000.0
96,96,심재민,KT 위즈,28,2,46.2,,6.0,2.0,4.0,0.0,100.0,1.16,,,,,,,,,0.0,0.0,,,0.0,113118,2021,11311,투수,6300.0,40.0,345.0,0.0,6300.0
97,97,데스파이네,KT 위즈,33,33,188.2,,46.0,9.0,36.0,1.0,97.8,2.15,,,,,,,,,0.0,,,,0.0,146028,2021,14602,투수,104000.0,1.0,20.0,0.0,104000.0
98,98,하준호,KT 위즈,10,0,12.0,,2.0,0.0,2.0,0.0,100.0,1.5,,,,,,,,,0.0,0.0,,,0.0,103048,2021,10304,투수,6000.0,41.0,348.0,0.0,6000.0
99,99,이창재,KT 위즈,32,0,26.2,,1.0,0.0,1.0,0.0,100.0,0.34,,,,,,,,,0.0,0.0,,,0.0,113208,2021,11320,투수,4700.0,50.0,425.0,0.0,4700.0
100,100,조현우,KT 위즈,48,0,31.0,,17.0,4.0,11.0,2.0,88.2,4.35,,,,,,,,,0.0,0.0,,,0.0,113168,2021,11316,투수,7500.0,30.0,295.0,0.0,7500.0
101,101,김재윤,KT 위즈,65,0,67.0,,10.0,1.0,9.0,0.0,100.0,1.34,,,,,,,,,0.0,0.0,,,0.0,114898,2021,11489,투수,17000.0,14.0,143.0,0.0,17000.0
