선수,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,TBF,H,2B,3B,HR,BB,HP,SO,BK,WP,ERA,FIP,WHIP,WAR,팀,pid,연도,연봉(만원),신인여부,국적,선발투수,연봉등급
이상민,23,0,23,4,0,0,2,1,0,1,18.0,17,17,83,32,3,1,2,3,0,17,0,0,8.5,3.33,1.94,-0.31,삼성 라이온즈,11169,2024,6500,False,내국인,0,C
장필준,17,3,14,5,0,0,1,1,0,1,19.1,17,17,96,28,5,3,2,12,2,11,0,0,7.91,5.9,2.07,-0.38,삼성 라이온즈,11404,2024,7000,False,내국인,0,C
홍정우,36,1,35,5,0,0,2,3,0,3,36.0,30,31,166,36,3,1,5,21,3,22,0,2,7.5,5.95,1.58,-0.4,삼성 라이온즈,13242,2024,6000,False,내국인,0,C
김태훈,63,0,63,16,0,0,5,7,3,8,55.2,45,48,268,65,17,1,7,37,3,36,0,1,7.28,5.9,1.83,-0.6,삼성 라이온즈,10871,2024,17000,False,내국인,0,B
최하늘,3,2,1,1,0,0,0,2,0,0,6.1,14,14,40,14,6,0,2,5,2,3,0,0,19.89,9.85,3.0,-0.85,삼성 라이온즈,13152,2024,4100,False,내국인,0,D
김광현,30,30,0,0,0,0,9,8,0,0,168.1,66,75,713,163,30,0,11,70,2,119,0,5,3.53,4.19,1.38,4.19,SSG 랜더스,10126,2024,100000,False,내국인,1,A
엘리아스,22,21,1,1,0,0,8,6,0,0,131.1,54,58,548,140,22,1,12,33,6,93,0,0,3.7,4.09,1.32,3.36,SSG 랜더스,15644,2024,65000,False,외국인,1,A
서진용,69,0,69,61,0,0,5,4,42,0,73.0,21,22,325,63,6,0,3,49,4,64,0,5,2.59,4.27,1.53,2.96,SSG 랜더스,10784,2024,45000,False,내국인,0,A
노경은,76,0,76,6,0,0,9,5,2,30,83.0,33,33,357,78,13,2,4,36,4,65,0,8,3.58,3.81,1.37,1.89,SSG 랜더스,10203,2024,35000,False,내국인,0,A
오원석,28,27,1,1,1,0,8,10,0,0,144.2,84,92,648,158,22,2,11,69,9,88,0,11,5.23,4.9,1.57,1.41,SSG 랜더스,14581,2024,14000,False,내국인,1,B
문승원,50,12,38,4,0,0,5,8,1,9,105.0,61,67,479,138,27,1,12,35,6,65,0,3,5.23,4.84,1.65,0.84,SSG 랜더스,10783,2024,18000,False,내국인,0,B
고효준,73,0,73,7,0,0,4,1,0,13,58.0,29,31,262,49,3,0,3,42,3,66,0,4,4.5,4.03,1.57,0.82,SSG 랜더스,10124,2024,15300,False,내국인,0,B
이건욱,27,1,26,10,0,0,1,0,0,0,38.2,9,13,169,31,7,0,0,25,2,31,0,2,2.09,4.01,1.45,0.72,SSG 랜더스,11242,2024,6100,False,내국인,0,C
최민준,53,0,53,6,0,0,5,3,1,7,60.0,28,29,262,75,10,2,7,19,1,37,0,2,4.2,4.68,1.57,0.35,SSG 랜더스,13126,2024,14400,False,내국인,0,B
백승건,25,2,23,3,0,0,2,2,0,3,38.0,21,24,170,41,5,0,7,17,0,29,0,0,4.97,5.52,1.53,0.34,SSG 랜더스,14145,2024,4600,False,내국인,0,D
박종훈,18,16,2,0,0,0,2,6,0,0,80.0,55,57,382,77,13,1,8,60,19,56,0,2,6.19,6.35,1.71,0.28,SSG 랜더스,10131,2024,110000,False,내국인,1,A
박민호,10,0,10,1,0,0,0,0,0,0,10.0,1,3,47,14,1,0,0,1,2,4,0,0,0.9,3.78,1.5,0.28,SSG 랜더스,11236,2024,6000,False,내국인,0,C
한두솔,1,0,1,1,0,0,0,0,0,0,1.0,1,1,6,1,0,1,0,1,1,2,0,0,9.0,5.05,2.0,-0.01,SSG 랜더스,13228,2024,3200,False,내국인,0,D
이기순,2,0,2,1,0,0,0,0,0,0,3.0,3,3,16,3,0,0,1,4,0,3,0,0,9.0,9.45,2.33,-0.03,SSG 랜더스,15028,2024,3100,False,내국인,0,D
