Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,포지션
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
26,양현종,25 3B,-0.23,9,-0.14,-0.09,12,12,10,1,1,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0.1,0.25,0.1,0.35,0.018,17.0,-0.23,3루수
27,고영우,25 3B,-0.25,4,-0.1,-0.15,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.166,-156.6,-0.25,3루수
28,석정우,25 3B,-0.26,22,0.26,-0.52,46,46,42,3,11,1,0,2,18,4,0,0,4,0,0,15,1,0,0,0.262,0.326,0.429,0.755,0.127,107.3,-0.26,3루수
29,김찬형,25 3B,-0.36,35,-0.48,0.13,74,73,69,4,13,2,0,0,15,5,0,0,3,1,0,13,3,1,0,0.188,0.233,0.217,0.45,0.017,14.1,-0.36,3루수
30,안상현,25 3B,-0.4,54,0.18,-0.57,139,138,127,17,34,4,1,1,43,7,9,4,10,0,0,47,1,1,1,0.268,0.319,0.339,0.658,0.095,80.0,-0.4,3루수
31,박지환,25 3B,-0.98,27,-0.69,-0.29,66,63,58,3,8,0,0,0,8,4,0,1,4,0,0,19,1,3,1,0.138,0.19,0.138,0.328,-0.024,-20.3,-0.98,3루수
1,박성한,25 SS,3.45,84,3.0,0.45,348,346,285,44,74,17,0,5,106,28,3,5,57,2,1,64,3,2,2,0.26,0.384,0.372,0.756,0.147,124.6,3.45,유격수
2,박찬호,25 SS,2.95,81,2.68,0.27,363,357,313,46,92,12,0,3,113,26,16,4,39,1,0,43,3,6,4,0.294,0.37,0.361,0.731,0.129,112.0,2.95,유격수
3,이재현,25 SS,2.91,87,2.63,0.28,342,336,276,47,68,14,0,10,112,45,4,0,47,8,1,74,6,5,6,0.246,0.365,0.406,0.771,0.144,114.8,2.91,유격수
4,김주원,25 SS,2.66,87,2.52,0.14,380,376,327,57,84,13,3,6,121,30,24,6,39,8,1,64,7,4,2,0.257,0.348,0.37,0.718,0.124,104.6,2.66,유격수
5,구본혁,25 SS,1.63,85,0.82,0.81,248,239,214,21,52,11,1,1,68,22,4,3,21,4,0,30,2,9,0,0.243,0.322,0.318,0.64,0.096,83.9,1.63,유격수
6,하주석,25 SS,1.47,52,0.75,0.72,164,158,147,20,43,7,0,2,56,14,1,1,7,4,0,39,4,6,0,0.293,0.342,0.381,0.723,0.116,95.0,1.47,유격수
7,오지환,25 SS,1.28,75,0.83,0.45,259,253,221,28,48,12,0,7,81,28,6,4,24,3,0,65,3,6,5,0.217,0.296,0.367,0.663,0.096,83.5,1.28,유격수
8,이유찬,25 SS,0.59,41,0.65,-0.06,149,146,131,18,34,6,1,0,42,9,7,1,14,1,0,31,3,3,0,0.26,0.336,0.321,0.657,0.103,87.3,0.59,유격수
9,권동진,25 SS,0.56,78,0.73,-0.17,226,220,192,24,45,7,2,0,56,15,3,1,27,0,0,62,5,6,1,0.234,0.327,0.292,0.619,0.095,79.3,0.56,유격수
10,전민재,25 SS,0.4,77,1.18,-0.78,286,279,259,32,76,12,0,3,97,26,2,2,16,2,0,50,6,7,2,0.293,0.337,0.375,0.712,0.111,90.0,0.4,유격수
11,이호준,25 SS,0.27,60,0.48,-0.21,88,87,76,12,18,4,4,0,30,11,0,0,7,3,0,18,2,1,1,0.237,0.322,0.395,0.717,0.121,99.3,0.27,유격수
12,심우준,25 SS,0.2,52,0.03,0.17,162,156,147,20,31,5,1,2,44,14,5,0,7,2,0,30,3,6,0,0.211,0.256,0.299,0.555,0.053,43.6,0.2,유격수
13,박민석,25 SS,0.13,19,0.08,0.05,21,21,19,5,5,1,1,0,8,1,0,1,2,0,0,4,0,0,0,0.263,0.333,0.421,0.754,0.135,118.1,0.13,유격수
14,박준영,25 SS,0.13,41,0.42,-0.29,126,125,111,9,25,8,0,1,36,10,3,0,10,3,0,32,1,1,1,0.225,0.304,0.324,0.628,0.088,76.5,0.13,유격수
15,김태진,25 SS,0.03,59,0.44,-0.41,181,180,165,18,42,9,1,3,62,13,0,0,13,0,1,33,5,1,2,0.255,0.306,0.376,0.682,0.097,88.0,0.03,유격수
16,양우현,25 SS,-0.01,2,-0.05,0.04,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.166,-146.6,-0.01,유격수
