팀,선수,연봉 총수령액(만원),연봉등급,pid,연도,팀연봉순위,전체연봉순위
LG 트윈스,송승기,6000,C,14846,2021,40,348
롯데 자이언츠,송승준,5000,C,10285,2021,32,401
키움 히어로즈,송우현,3000,D,11377,2021,54,618
한화 이글스,송윤준,4000,D,10748,2021,38,455
LG 트윈스,송은범,27000,B,10137,2021,11,98
롯데 자이언츠,송재영,9000,C,14794,2021,21,249
삼성 라이온즈,송준석,5000,C,11200,2021,46,401
한화 이글스,송호정,13000,B,14812,2021,13,174
KIA 타이거즈,송후섭,3000,D,12867,2021,70,618
LG 트윈스,수아레즈,78000,A,14753,2021,4,38
키움 히어로즈,스미스,65000,A,14754,2021,5,46
롯데 자이언츠,스트레일리,156000,A,14627,2021,1,5
SSG 랜더스,신동민,3000,D,13272,2021,45,618
LG 트윈스,신민재,5500,C,13056,2021,43,390
NC 다이노스,신민혁,4000,D,13085,2021,46,455
KT 위즈,신범준,20000,B,14774,2021,11,119
KT 위즈,신본기,9200,C,10840,2021,25,248
두산 베어스,신성현,4300,D,11492,2021,42,444
롯데 자이언츠,신용수,3400,D,14169,2021,48,509
SSG 랜더스,신재영,14000,B,11149,2021,19,167
SSG 랜더스,신재웅,5500,C,10921,2021,39,390
한화 이글스,신정락,8000,C,10516,2021,21,271
키움 히어로즈,신준우,3000,D,14695,2021,54,618
한화 이글스,신지후,3000,D,14620,2021,66,618
두산 베어스,신창희,3000,D,12608,2021,64,618
KIA 타이거즈,심동섭,8000,C,10056,2021,29,271
KT 위즈,심우준,15500,B,11334,2021,16,162
KT 위즈,심재민,6300,C,11311,2021,40,345
삼성 라이온즈,심창민,28000,B,10720,2021,13,97
두산 베어스,안권수,3500,D,14571,2021,46,491
SSG 랜더스,안상현,2700,D,12613,2021,80,809
KT 위즈,안승한,3700,D,11328,2021,54,478
KT 위즈,안영명,7000,C,10600,2021,32,305
키움 히어로즈,안우진,9000,C,13091,2021,26,249
LG 트윈스,안익훈,5500,C,11347,2021,43,390
NC 다이노스,안인산,3000,D,14598,2021,55,618
두산 베어스,안재석,23000,B,14771,2021,12,109
삼성 라이온즈,안주형,3300,D,12988,2021,61,521
롯데 자이언츠,안중열,4700,D,11329,2021,37,425
한화 이글스,안진,6000,C,14876,2021,30,348
두산 베어스,안찬호,3000,D,14834,2021,64,618
