Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
34,박유연,23 C,-0.028,10,5,41.1,38,36,1,1,97.4,8.06,-0.09,,-0.39,,-0.01,0.32,-0.67,,-0.64,-9.15,0.36,-0.28,-0.065,128921
49,안승한,23 C,-0.256,21,8,80.0,57,52,3,2,96.5,6.19,-0.15,,-0.78,,-0.01,-1.63,-0.73,,-3.08,-20.17,0.58,-2.51,-0.314,113281
54,양석환,23 1B,-0.519,111,111,920.2,859,785,64,10,98.8,8.3,4.03,,0.18,,-0.18,,,,4.03,4.15,-9.12,-5.09,0.411,112131
55,김재환,23 LF,-0.59,58,55,440.0,118,114,3,1,99.2,2.39,-3.12,-0.7,0.29,,,,,,-3.53,-3.85,-2.26,-5.79,-0.36,106431
58,박신지,23 P,,14,1,26.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,130701
58,홍건희,23 P,,64,0,61.2,10,1,7,2,80.0,1.17,,,,,,,,,0.0,0.0,,,0.0,106961
58,최승용,23 P,,34,20,111.0,23,3,19,1,95.7,1.78,,,,,,,,,0.0,0.0,,,0.0,147701
58,정철원,23 P,,67,0,72.2,17,6,9,2,88.2,1.86,,,,,,,,,0.0,0.0,,,0.0,130711
58,김정우,23 P,,7,0,6.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,131241
58,박정수,23 P,,25,0,36.2,9,2,7,0,100.0,2.21,,,,,,,,,0.0,0.0,,,0.0,113001
58,박치국,23 P,,60,0,52.2,5,2,3,0,100.0,0.85,,,,,,,,,0.0,0.0,,,0.0,128501
58,김민규,23 P,,6,1,8.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,,,,0.0,130721
58,이형범,23 P,,23,0,27.2,5,2,1,2,60.0,0.98,,,,,,,,,0.0,0.0,,,0.0,111591
2,이정후,23 CF,0.739,81,80,698.0,210,204,5,1,99.5,2.69,5.52,1.34,0.39,,,,,,7.25,12.14,0.0,7.25,0.739,129067
3,이지영,23 C,0.691,78,69,539.0,503,467,32,4,99.2,8.33,-0.26,,-0.59,,0.02,0.92,1.6,,1.2,2.14,5.57,6.77,0.123,103127
4,김동헌,23 C,0.457,100,48,522.0,424,377,43,4,99.1,7.24,-0.53,,-0.14,,-0.02,0.29,-0.96,,-1.07,-1.5,5.54,4.48,-0.109,154737
7,김시앙,23 C,0.252,32,24,198.1,147,134,13,0,100.0,6.67,-0.06,,0.51,,-0.01,-0.64,0.99,,0.51,2.2,1.97,2.47,0.052,148517
8,러셀,23 SS,0.22,51,49,407.2,184,68,113,3,98.4,4.0,-3.31,,0.46,0.92,,,,,-1.93,-4.7,4.08,2.15,-0.196,147427
31,이승원,23 SS,-0.069,4,2,11.0,6,2,3,1,83.3,4.09,-0.63,,-0.47,0.36,,,,,-0.74,-26.66,0.06,-0.68,-0.076,154767
47,김재현,23 C,-0.152,8,3,29.0,16,16,0,0,100.0,4.97,-0.09,,0.07,,,-0.57,-1.64,,-1.73,-31.2,0.24,-1.49,-0.177,108707
58,김웅빈,23 1B,-0.241,13,9,73.2,76,68,6,2,97.4,9.04,-1.66,,0.13,,-0.16,,,,-1.68,-8.35,-0.68,-2.36,-0.171,125037
64,이형종,23 RF,-0.575,77,61,571.2,123,117,4,2,98.4,1.9,-3.42,0.52,0.11,,,,,,-2.79,-4.05,-2.85,-5.64,-0.284,125167
67,원종현,23 P,,20,0,18.2,4,2,2,0,100.0,1.93,,,,,,,,,0.0,0.0,,,0.0,111617
67,김동혁,23 P,,35,2,39.1,8,1,6,1,87.5,1.6,,,,,,,,,0.0,0.0,,,0.0,146747
67,김성진,23 P,,55,0,47.0,7,1,5,1,85.7,1.15,,,,,,,,,0.0,0.0,,,0.0,148497
67,후라도,23 P,,30,30,183.2,50,13,37,0,100.0,2.45,,,,,,,,,0.0,0.0,,,0.0,155317
67,문성현,23 P,,31,0,28.1,5,2,3,0,100.0,1.59,,,,,,,,,0.0,0.0,,,0.0,104377
67,김재웅,23 P,,66,0,59.2,9,1,8,0,100.0,1.36,,,,,,,,,0.0,0.0,,,0.0,128587
