Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,팀,pid,pit_G,pit_GS,GR,GF,CG,SHO,W,L,S,HD,pit_IP,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,FIP,WHIP,연봉(만원),WAR,WAR당 연봉
주현상,투수,62,0,71.1,2,10,0,1.51,0.0,0.0,한화 이글스,11415.0,65,0,65,51,0,0,8,4,23,2,71.1,21,22,24.75,267,52,8,2,9,8,1,0,64,0,0,1,2.65,3.85,0.84,11000,3.16,3479
박진형,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,11425.0,7,0,7,0,0,0,0,0,0,0,6.1,3,3,2.65,24,6,1,0,0,1,1,0,4,0,0,1,4.26,3.6,1.11,8600,0.21,40344
김재윤,투수,65,0,66.0,1,10,0,1.5,0.0,0.0,삼성 라이온즈,11489.0,65,0,65,21,0,0,4,8,11,25,66.0,30,37,37.45,284,58,9,1,13,25,1,5,51,5,0,2,4.09,5.69,1.26,40000,0.70,56762
박소준,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,두산 베어스,11491.0,1,1,0,0,0,0,0,1,0,0,4.0,5,5,5.0,20,6,0,0,2,2,0,0,2,0,0,1,11.25,10.45,2.0,3300,-0.07,-47751
윌커슨,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,12295.0,32,32,0,1,1,1,12,8,0,0,196.2,84,90,88.8,816,210,37,3,18,27,2,0,167,13,0,3,3.84,3.62,1.21,60000,7.42,8084
김대현,투수,35,0,35.0,0,1,0,0.26,0.0,0.0,LG 트윈스,12532.0,37,0,37,8,0,0,2,0,1,1,35.0,21,21,25.0,155,33,6,1,6,18,2,0,30,0,0,5,5.4,5.87,1.46,5700,0.03,216389
전상현,투수,66,0,66.0,2,6,1,1.09,0.0,0.0,KIA 타이거즈,12537.0,66,0,66,16,0,0,10,5,7,19,66.0,30,32,33.75,272,55,7,2,5,20,5,1,54,1,0,2,4.09,4.18,1.14,17000,1.49,11445
최성영,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,12565.0,24,4,20,7,0,0,2,0,1,1,46.2,30,37,37.5,218,65,10,0,7,17,0,0,29,3,0,0,5.79,5.3,1.76,8300,-0.03,-322111
이영하,투수,56,1,65.1,4,6,2,1.38,0.0,0.0,두산 베어스,12568.0,59,1,58,8,0,0,5,4,2,5,65.1,29,34,41.05,298,62,9,3,4,36,2,1,59,6,0,7,3.99,4.47,1.5,10000,0.36,27768
정동윤,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,12571.0,3,0,3,1,0,0,0,0,0,0,1.2,0,0,0.35,7,1,0,0,0,1,0,0,2,0,0,0,0.0,3.06,1.2,3000,0.05,54717
박세진,투수,6,0,5.1,0,0,0,0.0,0.0,0.0,KT 위즈,12572.0,6,0,6,3,0,0,0,0,0,0,5.1,2,4,6.2,25,7,1,0,0,4,0,0,2,1,0,0,3.38,5.59,2.06,3500,-0.05,-71550
서의태,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,12574.0,11,0,11,2,0,0,1,0,0,0,7.2,8,8,7.3,34,5,1,0,1,8,0,0,7,0,0,1,9.39,6.7,1.7,3000,-0.06,-52157
김승현,투수,14,0,18.0,0,3,2,1.5,0.0,0.0,KIA 타이거즈,12637.0,14,0,14,4,0,0,1,0,0,0,18.0,8,12,11.95,85,23,5,1,3,7,0,0,11,2,0,0,4.0,5.86,1.67,4100,0.12,34777
김강현,투수,24,0,25.1,3,5,0,2.84,0.0,0.0,롯데 자이언츠,12699.0,26,0,26,10,0,0,0,0,0,0,25.1,10,13,13.7,123,28,4,0,2,18,2,1,24,3,0,3,3.55,5.1,1.82,3200,0.52,6205
김명신,투수,32,0,32.2,2,3,0,1.38,0.0,0.0,두산 베어스,12847.0,35,0,35,5,0,0,2,1,0,4,32.2,34,34,38.5,168,63,7,0,8,8,2,0,25,1,0,1,9.37,6.15,2.17,22500,-0.89,-25412
박치국,투수,50,0,48.0,1,8,1,1.69,0.0,0.0,두산 베어스,12850.0,52,0,52,15,0,0,2,3,1,3,48.0,34,34,35.05,222,59,6,0,8,18,10,1,35,1,1,1,6.38,6.1,1.6,13000,-0.15,-86277
최원준,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,두산 베어스,12852.0,24,24,0,0,0,0,6,7,0,0,110.0,79,79,70.35,490,125,24,2,21,34,10,1,72,3,0,1,6.46,6.07,1.45,25000,1.12,22333
양지율,투수,20,0,18.2,0,0,0,0.0,0.0,0.0,키움 히어로즈,12854.0,21,0,21,2,0,0,0,2,0,3,18.2,13,13,11.3,83,16,4,0,1,13,2,0,7,0,0,0,6.27,6.39,1.55,3000,0.07,40694
김재웅,투수,26,0,23.2,0,5,0,1.9,0.0,0.0,키움 히어로즈,12858.0,26,0,26,1,0,0,0,2,0,7,23.2,9,9,11.25,107,24,3,1,2,12,1,1,19,3,0,1,3.42,4.9,1.52,19000,0.38,49496
오석주,투수,16,0,17.0,0,2,0,1.06,0.0,0.0,키움 히어로즈,12860.0,17,0,17,7,0,0,1,1,0,0,17.0,21,21,20.15,92,28,4,1,0,11,3,1,16,1,0,2,11.12,4.4,2.29,4000,-0.32,-12697
