Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,팀,bat_G,PA,ePA,AB,R_y,H_y,2B_y,3B_y,HR_y,RBI,SB,CS,BB_y,HP_y,IB_y,SO_y,GDP,SH,SF,연봉(만원),WAR,WAR당 연봉
주성원,우익수,16,11,93.0,31,1,2,3.1,1.31,6.99,키움 히어로즈,27,62,61,55,7,11,1,0,1,5,0,0,6,0,0,18,2,1,0,3500,0.01,375377
김창평,우익수,1,1,4.0,3,0,0,6.75,0.47,11.34,SSG 랜더스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,-0.07,-46732
하재훈,우익수,47,33,301.1,49,2,5,1.52,-9.4,-12.65,SSG 랜더스,107,317,315,290,40,72,19,0,10,36,15,2,18,2,0,90,5,2,5,10000,-1.59,-6309
고승민,우익수,6,3,31.0,9,0,0,2.61,0.57,0.68,롯데 자이언츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,3.49,2294
신윤후,우익수,25,6,84.0,22,4,0,2.79,4.25,15.68,롯데 자이언츠,39,35,34,31,5,5,0,0,0,1,0,0,1,2,0,8,1,1,0,5200,0.30,17392
김대한,우익수,29,12,124.0,34,0,1,2.47,2.1,4.96,두산 베어스,61,89,87,75,10,10,1,0,1,7,1,1,8,2,0,26,1,2,2,3700,-0.51,-7286
송승환,우익수,2,1,9.0,5,0,0,5.0,1.55,74.33,NC 다이노스,3,5,5,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3500,0.13,26594
김태근,우익수,10,0,19.2,5,0,0,2.29,0.0,-0.01,두산 베어스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,-0.72,-4729
오선우,우익수,2,1,11.0,2,0,1,1.64,-1.28,-61.31,KIA 타이거즈,3,7,7,7,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,3300,-0.03,-95565
최승민,우익수,8,1,17.0,5,1,0,3.18,-0.29,-0.73,LG 트윈스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,-0.02,-251300
박주홍,우익수,4,1,9.0,3,0,0,3.0,0.67,3.88,키움 히어로즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,-0.24,-14893
이주형,우익수,58,50,431.1,108,3,2,2.32,2.57,3.21,키움 히어로즈,115,537,536,473,82,126,19,3,13,60,6,0,49,14,1,119,4,0,1,6600,2.51,2634
박시원,우익수,24,12,143.1,24,3,2,1.7,-3.8,-9.94,NC 다이노스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,-0.27,-11284
황성빈,우익수,2,0,4.0,1,0,0,2.25,0.53,0.61,롯데 자이언츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7600,2.15,3532
함창건,우익수,2,0,2.0,0,0,0,0.0,0.01,0.06,LG 트윈스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,-0.19,-15608
임종찬,우익수,13,1,33.0,6,0,0,1.64,1.49,8.96,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,-0.22,-15452
최인호,우익수,4,4,35.0,6,1,0,1.8,0.58,1.02,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,2.03,2359
양찬열,우익수,7,2,28.0,4,0,0,1.29,1.03,13.53,두산 베어스,11,12,12,8,2,1,0,0,0,1,0,0,4,0,0,1,0,0,0,4000,0.09,42199
김건형,우익수,12,9,66.0,22,0,0,3.0,-0.25,-2.72,KT 위즈,13,25,25,24,2,3,1,0,0,1,0,0,1,0,0,8,0,0,0,3000,-0.21,-14433
이영빈,우익수,4,3,26.0,4,0,0,1.38,-1.22,-5.69,LG 트윈스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,0.00,2305239
장재영,우익수,20,19,157.1,42,2,0,2.52,1.25,4.73,키움 히어로즈,38,139,139,119,14,20,3,0,4,13,0,0,17,3,0,64,2,0,0,4000,-0.41,-9657
김현준,우익수,40,24,218.1,62,1,1,2.6,4.94,9.0,삼성 라이온즈,79,205,201,183,23,41,10,1,0,11,2,0,11,4,0,49,4,4,3,14000,0.04,396434
추신수,우익수,6,5,35.0,7,0,0,1.8,0.29,0.53,SSG 랜더스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0.94,3179
소크라테스,우익수,4,1,11.0,4,0,1,3.27,-0.14,-0.15,KIA 타이거즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,4.06,12324
라모스,우익수,79,79,654.2,123,4,4,1.75,-1.92,-3.46,두산 베어스,80,348,346,311,43,95,19,3,10,48,3,3,27,3,1,60,5,1,6,55000,2.37,23179
김재혁,우익수,11,2,23.0,5,0,1,1.96,-1.26,-5.19,삼성 라이온즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,-0.22,-13581
윤동희,우익수,61,54,455.0,106,2,0,2.14,-1.29,-1.32,롯데 자이언츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,3.72,2419
최원영,우익수,17,2,41.0,12,0,0,2.63,1.32,3.34,LG 트윈스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0.25,11916
김병준,우익수,10,1,20.2,7,0,0,3.05,-0.96,-3.95,KT 위즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0.27,11466
박수종,우익수,8,0,14.0,3,0,0,1.93,-1.44,-2.59,키움 히어로즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0.25,15819
이상혁,우익수,8,0,12.0,2,0,0,1.5,-0.15,-0.5,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,-0.11,-28290
류승민,우익수,4,0,7.0,3,0,0,3.86,0.99,28.43,삼성 라이온즈,5,3,3,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3500,0.13,27229
정준영,우익수,33,18,168.1,44,0,2,2.35,3.08,10.32,KT 위즈,43,74,71,62,9,14,2,0,0,3,0,0,8,1,0,16,1,3,0,4200,0.41,10337
김동혁,우익수,7,0,11.2,2,0,0,1.54,0.1,0.37,롯데 자이언츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0.21,14524
김현종,우익수,1,0,3.0,0,0,0,0.0,0.12,1.02,LG 트윈스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0.17,17163
정현승,우익수,12,3,40.0,5,0,0,1.13,0.29,1.8,SSG 랜더스,23,31,31,29,1,7,0,0,1,4,1,0,2,0,0,6,0,0,0,3000,-0.24,-12319
전다민,우익수,2,0,8.0,1,0,0,1.13,-0.09,-0.53,두산 베어스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0.35,8557
레이예스,우익수,83,81,664.2,126,0,4,1.71,-3.66,-3.66,롯데 자이언츠,144,632,631,574,88,202,40,3,15,111,5,0,46,1,2,82,16,0,11,60000,3.72,16111
페라자,우익수,39,39,310.0,72,3,7,2.18,-0.96,-1.14,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,2.90,20686
원성준,우익수,7,4,41.0,7,1,0,1.76,0.0,0.0,키움 히어로즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,-0.25,-11991
카디네스,우익수,5,4,33.2,9,0,0,2.41,-1.05,-21.67,삼성 라이온즈,7,25,25,24,2,8,2,0,2,5,0,1,1,0,0,6,1,0,0,32700,0.00,11890996
제러드,우익수,18,17,147.0,34,2,0,2.2,-1.35,-5.1,두산 베어스,38,169,169,144,29,47,16,1,10,39,4,0,21,3,0,35,0,0,1,30000,1.52,19800
김선빈,유격수,2,0,3.0,1,2,0,9.0,-0.13,-0.16,KIA 타이거즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,2.11,28379
김재호,유격수,52,38,326.0,65,76,7,3.89,-3.66,-9.26,두산 베어스,57,154,147,126,20,38,5,0,1,11,0,0,19,1,0,23,4,7,1,30000,0.56,53904
김상수,유격수,78,71,581.2,120,150,10,4.18,2.06,2.62,KT 위즈,113,420,413,369,60,102,18,4,4,45,3,2,37,6,0,59,12,7,1,30000,1.95,15374
황재균,유격수,4,0,5.0,1,2,0,5.4,-0.4,-0.42,KT 위즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,-0.19,-536924
오지환,유격수,107,97,858.0,150,238,12,4.07,2.9,3.86,LG 트윈스,108,428,426,370,67,94,24,2,10,59,17,4,51,4,0,106,8,2,1,30000,3.12,9616
오선진,유격수,3,0,6.0,0,2,0,3.0,0.3,1.64,롯데 자이언츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0.18,54627
김성현,유격수,21,12,118.0,19,32,3,3.89,-4.01,-8.12,SSG 랜더스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,-0.69,-29017
박승욱,유격수,110,97,833.0,140,252,22,4.24,-7.21,-7.46,롯데 자이언츠,139,468,463,405,57,106,19,1,7,53,4,5,47,10,3,120,7,3,3,13500,-0.10,-135107
신본기,유격수,50,22,220.2,38,71,4,4.45,2.32,3.98,KT 위즈,84,152,143,122,18,34,3,0,3,19,2,0,16,3,0,28,3,9,2,13000,0.83,15636
하주석,유격수,42,26,221.2,43,74,3,4.75,-2.5,-5.62,한화 이글스,64,151,149,137,16,40,9,1,1,11,1,2,10,2,0,33,1,2,0,7000,0.23,30579
노진혁,유격수,29,18,150.2,23,38,5,3.64,-4.45,-8.79,롯데 자이언츠,73,157,154,137,13,30,6,0,2,13,0,0,15,1,1,39,1,2,2,60000,-0.23,-260317
박계범,유격수,3,2,19.0,1,10,2,5.21,-2.28,-13.69,두산 베어스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,-0.47,-18168
장준원,유격수,11,2,34.0,9,6,0,3.97,0.94,7.92,KT 위즈,17,18,18,14,1,1,0,0,0,0,0,0,4,0,0,5,0,0,0,5300,-0.03,-171447
김태진,유격수,57,33,346.0,64,104,3,4.37,6.82,12.12,키움 히어로즈,81,202,197,189,26,42,6,3,0,10,0,0,7,0,1,27,1,5,1,11000,0.89,12361
강한울,유격수,3,0,3.0,1,0,0,3.0,-0.25,-2.02,삼성 라이온즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,-0.32,-30994
박찬호,유격수,132,129,1120.1,213,328,23,4.35,3.57,3.83,KIA 타이거즈,134,577,570,515,86,158,24,1,5,61,20,13,48,1,1,44,9,7,6,30000,4.03,7451
심우준,유격수,53,49,431.2,93,126,8,4.57,-0.66,-1.79,KT 위즈,53,192,187,169,22,45,4,0,3,28,7,1,17,1,0,29,3,5,0,29000,0.90,32170
이도윤,유격수,112,89,784.0,138,198,13,3.86,0.01,0.01,한화 이글스,134,374,368,336,49,93,10,3,1,46,6,4,26,3,0,56,5,6,3,7500,1.14,6585
