G_x,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,연도,기존pid_x,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,수상횟수,현재 연봉,이후 연봉,예측연봉
10,6,49.2,0.093,53.0,49.0,4.0,0.0,100.0,9.6,1.21,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.46,10.51,-0.44,1.02,0.133,130825,2024,13082,0.08,20,-0.04,0.12,34,34,30,4,6,0,0,3,15,5,0,0,2,1,0,6,0,0,1,0.2,0.265,0.5,0.765,0.108,80.8,0.0,7200.0,5100.0,5921.308736222297
1,0,3.0,0.006,4.0,4.0,0.0,0.0,100.0,12.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.04,2.64,0.02,0.06,0.003,154525,2024,15452,-0.06,2,-0.07,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-0.19,-136.9,0.0,13000.0,3000.0,10267.01650014337
9,4,45.0,-0.015,42.0,39.0,3.0,0.0,100.0,8.4,0.0,0.0,0.16,0.0,0.0,-0.2,-0.92,0.0,-0.69,-9.89,0.53,-0.16,-0.063,113295,2024,11329,0.23,10,0.29,-0.06,25,25,21,5,6,1,0,2,13,4,0,0,3,0,0,7,0,0,1,0.286,0.36,0.619,0.979,0.187,138.4,0.0,7100.0,6600.0,5942.500968286157
21,13,110.1,-0.259,21.0,20.0,0.0,1.0,95.2,1.63,-1.96,0.01,-0.38,0.0,0.0,0.0,0.0,0.0,-2.32,-11.93,-0.52,-2.84,-0.212,154515,2024,15451,-0.28,28,-0.07,-0.21,71,71,65,8,12,1,0,7,34,14,0,0,6,0,0,29,1,0,0,0.185,0.254,0.523,0.777,0.11,84.6,0.0,18100.0,3500.0,13242.991966451717
2,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.78,0.0,0.0,-0.002,142225,2024,14222,-0.15,5,-0.15,0.0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,-0.19,-142.8,0.0,3000.0,3000.0,3546.7515155002307
84,61,579.0,0.895,501.0,474.0,25.0,2.0,99.6,7.76,-0.24,0.0,1.09,0.0,-0.26,1.28,2.43,0.0,3.56,5.4,6.24,9.8,0.325,125491,2024,12549,1.16,95,0.85,0.31,283,279,252,31,70,10,0,5,95,31,0,2,22,2,0,47,5,4,3,0.278,0.337,0.377,0.714,0.113,86.7,0.0,4000.0,11000.0,8076.606020107068
133,131,1114.0,0.471,319.0,313.0,5.0,1.0,99.7,2.57,2.03,1.31,1.82,0.0,0.0,0.0,0.0,0.0,5.15,5.46,0.0,5.15,0.471,101951,2024,10195,2.97,136,2.52,0.45,608,598,510,95,145,21,3,4,184,47,52,13,71,9,1,72,8,10,8,0.284,0.376,0.361,0.737,0.131,100.2,0.0,86666.0,86666.0,74489.00600579975
1,1,9.0,0.046,2.0,0.0,2.0,0.0,100.0,2.0,0.44,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.5,72.24,0.0,0.5,0.046,160691,2024,16069,-0.01,1,-0.06,0.04,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.25,0.0,0.25,-0.008,-6.5,0.0,3000.0,3100.0,3572.7504171429528
9,7,58.0,0.015,59.0,57.0,2.0,0.0,100.0,9.16,-0.24,0.0,0.21,0.0,0.05,-0.21,-0.27,0.0,-0.38,-6.16,0.55,0.17,-0.035,110971,2024,11097,-0.1,9,-0.07,-0.04,23,22,20,1,4,2,0,0,6,0,0,1,2,0,0,5,0,1,0,0.2,0.273,0.3,0.573,0.061,43.3,0.0,6000.0,4800.0,5685.222278792695
3,0,7.0,0.009,9.0,8.0,1.0,0.0,100.0,11.57,-0.09,0.0,0.03,0.0,0.0,0.0,0.13,0.0,0.02,1.11,0.07,0.1,0.002,145701,2024,14570,-0.02,3,-0.02,0.0,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0.02,15.1,0.0,3000.0,3100.0,3603.138763882906
1,0,3.0,0.007,4.0,3.0,1.0,0.0,100.0,12.0,0.0,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.06,4.18,0.02,0.08,0.005,160761,2024,16076,0.12,2,0.11,0.01,3,3,3,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.667,0.667,1.0,1.667,0.487,380.3,0.0,3000.0,3100.0,7639.227630000984
