Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,이형종,25 LF,,12,10,80.2,21,21,0,0,100.0,2.34,-1.18,-0.51,0.10,,,,,,-1.59,-7.64,-0.37,-1.96,-0.162,-0.200
0,이형종,25 RF,,12,6,63.1,17,16,1,0,100.0,2.42,1.74,0.77,0.10,,,,,,2.61,12.52,-0.27,2.34,0.266,0.238
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,최준우,25 RF,,14,8,77.0,15,15,0,0,100.0,1.75,-1.50,-0.85,0.13,,,,,,-2.22,-4.78,-0.33,-2.55,-0.226,-0.260
0,최준우,25 LF,,31,22,208.0,38,37,1,0,100.0,1.64,-0.85,0.20,0.26,,,,,,-0.38,-0.83,-0.93,-1.31,-0.039,-0.134
0,함창건,25 RF,,6,0,12.0,3,3,0,0,100.0,2.25,0.50,-0.02,0.02,,,,,,0.50,4.80,-0.02,0.48,0.051,0.049
0,함창건,25 LF,,9,7,56.0,17,17,0,0,100.0,2.73,1.65,0.75,0.07,,,,,,2.47,23.73,-0.28,2.19,0.252,0.223
0,배정대,25 CF,,82,62,584.2,140,137,2,1,99.3,2.14,1.84,1.69,0.53,,,,,,4.07,6.73,0.00,4.07,0.414,0.414
0,송찬의,25 CF,,4,2,15.0,2,2,0,0,100.0,1.20,-0.37,0.04,0.03,,,,,,-0.30,-0.67,0.00,-0.30,-0.031,-0.031
0,송찬의,25 RF,,25,17,153.0,29,29,0,0,100.0,1.71,1.50,-0.29,0.25,,,,,,1.47,3.25,-0.69,0.78,0.149,0.079
0,송찬의,25 LF,,23,12,122.1,32,30,2,0,100.0,2.35,1.83,0.12,0.16,,,,,,2.11,4.66,-0.59,1.52,0.214,0.154
0,문정빈,25 LF,,2,2,7.0,4,4,0,0,100.0,5.14,0.43,-0.07,0.01,,,,,,0.36,2.49,-0.04,0.32,0.037,0.033
