Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,팀,pid
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,,
39,이천웅,22 LF,-0.13,19,-0.06,-0.07,23,23,20,3,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0.2,0.304,0.2,0.504,0.054,48.8,-0.13,LG 트윈스,10935
40,이상호,22 2B,-0.27,60,-0.07,-0.2,80,77,72,9,18,2,0,0,20,5,1,2,4,1,0,6,1,3,0,0.25,0.299,0.278,0.577,0.068,60.5,-0.27,LG 트윈스,11147
41,루이즈,22 3B,-0.36,27,-0.39,0.02,94,94,84,10,13,4,1,1,22,6,1,0,9,0,0,13,5,0,1,0.155,0.234,0.262,0.496,0.039,36.3,-0.36,LG 트윈스,15002
42,김민성,22 3B,-0.5,92,-0.23,-0.27,157,154,140,16,29,4,0,3,42,20,0,1,10,3,0,27,4,3,1,0.207,0.273,0.3,0.573,0.066,59.4,-0.5,LG 트윈스,10238
1,이대호,22 DH,3.51,142,3.58,-0.07,591,585,540,53,179,23,0,23,271,101,0,0,43,2,7,56,26,0,6,0.331,0.379,0.502,0.881,0.168,139.7,3.51,롯데 자이언츠,10251
2,안치홍,22 2B,3.08,132,3.68,-0.6,562,550,493,71,140,27,3,14,215,58,7,2,51,5,4,52,13,8,5,0.284,0.354,0.436,0.79,0.141,117.9,3.08,롯데 자이언츠,10014
3,한동희,22 3B,2.76,129,3.31,-0.55,499,497,456,43,140,27,0,14,209,65,0,0,33,6,2,64,15,0,4,0.307,0.359,0.458,0.817,0.149,124.2,2.76,롯데 자이언츠,13145
4,렉스,22 RF,2.58,56,2.55,0.03,251,249,218,32,72,10,1,8,108,34,3,0,26,5,2,44,4,0,2,0.33,0.41,0.495,0.905,0.185,155.6,2.58,롯데 자이언츠,15152
5,고승민,22 RF,1.87,92,1.64,0.23,262,260,234,31,74,15,1,5,106,30,1,4,25,0,0,47,6,2,1,0.316,0.381,0.453,0.834,0.158,131.4,1.87,롯데 자이언츠,14160
6,전준우,22 LF,1.6,120,2.45,-0.86,517,516,470,73,143,31,1,11,209,68,6,3,35,3,1,73,14,0,9,0.304,0.35,0.445,0.795,0.139,116.0,1.6,롯데 자이언츠,10266
7,피터스,22 CF,0.83,85,0.99,-0.15,354,354,316,32,72,16,0,13,127,48,7,4,26,8,1,77,5,0,4,0.228,0.299,0.402,0.701,0.109,90.2,0.83,롯데 자이언츠,15009
8,신용수,22 RF,0.5,49,0.44,0.06,73,73,68,8,16,4,2,2,30,7,3,1,4,1,0,15,0,0,0,0.235,0.288,0.441,0.729,0.118,98.9,0.5,롯데 자이언츠,14169
9,지시완,22 C,0.43,75,0.38,0.05,199,197,174,16,37,7,0,3,53,17,0,0,20,2,1,55,7,2,1,0.213,0.299,0.305,0.604,0.081,67.4,0.43,롯데 자이언츠,11413
10,김민수,22 3B,0.19,57,0.04,0.15,156,153,140,9,36,6,0,0,42,11,0,1,9,4,0,48,2,3,0,0.257,0.32,0.3,0.62,0.088,73.8,0.19,롯데 자이언츠,12931
11,박승욱,22 SS,0.08,100,0.3,-0.21,228,216,198,29,45,7,2,1,59,16,8,2,16,2,0,69,1,12,0,0.227,0.292,0.298,0.59,0.074,61.7,0.08,롯데 자이언츠,10804
12,황성빈,22 CF,0.0,102,0.83,-0.82,353,346,320,62,94,12,4,1,117,16,10,12,22,2,0,55,2,7,2,0.294,0.341,0.366,0.707,0.113,94.3,0.0,롯데 자이언츠,14642
13,강윤구,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,롯데 자이언츠,10423
13,나균안,22 P,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,롯데 자이언츠,12930
13,문경찬,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,롯데 자이언츠,11299
13,구승민,22 P,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,롯데 자이언츠,11291
13,김원중,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,롯데 자이언츠,10825
18,김세민,22 2B,0.0,4,0.04,-0.04,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.5,0.0,0.5,0.161,133.2,0.0,롯데 자이언츠,15049
19,강로한,22 DH,-0.04,1,-0.04,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,-0.04,롯데 자이언츠,11389
20,김민수,22 RF,-0.05,5,-0.1,0.05,7,7,7,0,1,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0.143,0.143,0.143,0.286,-0.053,-43.5,-0.05,롯데 자이언츠,14168
21,김재유,22 DH,-0.08,1,-0.08,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,-0.08,롯데 자이언츠,11483
22,장두성,22 CF,-0.09,53,-0.02,-0.07,28,28,23,7,4,0,0,0,4,0,4,1,5,0,0,11,0,0,0,0.174,0.321,0.174,0.495,0.062,52.8,-0.09,롯데 자이언츠,13155
23,안중열,22 C,-0.13,33,0.0,-0.13,84,84,71,8,11,0,0,2,17,2,0,1,11,2,0,19,2,0,0,0.155,0.286,0.239,0.525,0.064,53.3,-0.13,롯데 자이언츠,11329
24,추재현,22 RF,-0.22,33,-0.08,-0.14,66,66,58,10,13,4,0,0,17,5,1,0,7,1,0,17,1,0,0,0.224,0.318,0.293,0.611,0.089,72.7,-0.22,롯데 자이언츠,13094
25,정훈,22 1B,-0.3,91,-0.49,0.19,340,334,294,39,72,8,0,3,89,32,4,1,32,2,0,66,6,6,6,0.245,0.317,0.303,0.62,0.085,71.0,-0.3,롯데 자이언츠,10253
26,한태양,22 SS,-0.31,38,-0.29,-0.02,72,68,61,14,9,1,0,0,10,3,1,0,5,2,0,24,1,4,0,0.148,0.235,0.164,0.399,0.014,11.4,-0.31,롯데 자이언츠,15051
27,윤동희,22 1B,-0.32,4,-0.16,-0.16,13,13,13,1,2,1,0,0,3,1,0,0,0,0,0,2,1,0,0,0.154,0.154,0.231,0.385,-0.017,-13.6,-0.32,롯데 자이언츠,15048
28,이호연,22 3B,-0.35,88,-0.19,-0.16,222,218,205,20,50,10,1,2,68,16,3,1,11,2,1,38,5,4,0,0.244,0.289,0.332,0.621,0.08,67.7,-0.35,롯데 자이언츠,13151
29,배성근,22 2B,-0.49,22,-0.48,-0.02,41,41,39,3,5,1,0,0,6,0,0,0,2,0,0,12,3,0,0,0.128,0.171,0.154,0.325,-0.028,-23.3,-0.49,롯데 자이언츠,13279
