선수,WAR,G_x,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,G_y,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,수상횟수,1루수,2루수,3루수,우익수,유격수,좌익수,중견수,포수,샐러리캡,연봉,이후연봉,예측연봉
황재균,-0.3,137,0.02,-0.32,536,531,493,60,128,22,0,13,189,58,4,6,34,2,0,95,16,5,2,0.26,0.309,0.383,0.692,0.099,72.2,104078,2024,10407,140.0,128.0,1091.0,-0.238,273.0,86.0,173.0,14.0,0.949,2.137,-2.93,0.0,0.46,-0.16,0.0,0.0,0.0,0.0,-2.6,-2.674,0.0,-2.6,-0.238,0.0,0,0,1,0,0,0,0,0,1051641,162500.0,112500.0,58687.068
박민석,-0.31,20,-0.14,-0.18,14,14,14,6,3,0,0,0,3,0,0,1,0,0,0,7,0,0,0,0.214,0.214,0.214,0.428,-0.01,-7.4,141108,2024,14110,13.0,0.0,30.0,-0.258,14.0,4.0,7.0,3.0,0.786,3.3,-1.96,0.0,-1.3,0.38,0.0,0.0,0.0,0.0,-2.88,-31.902,0.06,-2.82,-0.263,0.0,0,1,0,0,0,0,0,0,1051641,3100.0,3400.0,3799.16
김건형,-0.38,13,-0.35,-0.03,25,25,24,2,3,1,0,0,4,1,0,0,1,0,0,8,0,0,0,0.125,0.16,0.167,0.327,-0.046,-34.1,147798,2024,14779,12.0,9.0,66.0,-0.045,22.0,22.0,0.0,0.0,100.0,3.0,-0.7,0.26,0.2,0.0,0.0,0.0,0.0,0.0,-0.25,-2.72,-0.25,-0.5,-0.022,0.0,0,0,0,1,0,0,0,0,1051641,3000.0,3300.0,3285.66
오재일,-0.45,83,-0.01,-0.43,272,272,232,27,57,13,0,8,94,37,0,0,30,2,0,70,3,0,8,0.246,0.327,0.405,0.732,0.116,84.3,104008,2024,10400,55.0,43.0,406.1,-0.783,360.0,339.0,18.0,3.0,99.2,7.91,-4.5,0.0,0.5,0.0,-0.42,0.0,0.0,0.0,-4.41,-6.05,-4.16,-8.57,-0.403,0.0,1,0,0,0,0,0,0,0,1051641,50000.0,15000.0,22756.404
이호연,-0.61,27,-0.55,-0.06,43,42,41,3,6,1,0,0,7,0,0,0,1,0,0,12,2,1,0,0.146,0.167,0.171,0.338,-0.044,-32.6,131518,2024,13151,22.0,8.0,77.0,-0.037,27.0,12.0,15.0,0.0,1.0,3.156,-1.07,0.0,0.5,0.11,0.0,0.0,0.0,0.0,-0.46,-3.011,0.058,-0.402,-0.042,0.0,0,1,0,0,0,0,0,0,1051641,8500.0,7000.0,6584.5
구자욱,5.69,129,5.61,0.08,568,563,493,92,169,39,1,33,309,115,13,4,55,12,4,73,6,2,6,0.343,0.417,0.627,1.044,0.228,162.3,108923,2024,10892,104.0,102.0,839.0,-0.292,206.0,201.0,4.0,1.0,0.995,2.199,1.18,-0.74,0.52,0.0,0.0,0.0,0.0,0.0,0.97,1.343,-4.171,-3.201,0.089,0.0,0,0,0,1,0,0,0,0,1118100,200000.0,200000.0,77395.718
김지찬,3.98,135,3.58,0.41,535,521,453,102,143,16,3,3,174,36,42,4,60,9,2,40,5,12,1,0.316,0.405,0.384,0.789,0.157,112.7,146183,2024,14618,127.0,103.0,873.0,0.426,266.0,262.0,1.0,3.0,0.989,2.711,4.08,0.22,0.36,0.0,0.0,0.0,0.0,0.0,4.66,5.284,0.004,4.664,0.426,0.0,0,1,0,0,0,0,0,0,1118100,16000.0,28000.0,27595.552
강민호,3.32,136,3.02,0.3,452,450,403,48,122,19,1,19,200,77,3,0,35,8,2,52,17,0,6,0.303,0.365,0.496,0.861,0.161,115.6,102323,2024,10232,120.0,96.0,803.0,1.181,686.0,631.0,53.0,2.0,99.7,7.67,-0.56,0.0,1.9,0.0,-0.1,0.95,1.84,0.0,3.47,3.68,9.46,12.93,0.317,0.0,0,0,0,0,0,0,0,1,1118100,70000.0,70000.0,70425.322
이재현,3.03,109,2.43,0.6,458,457,389,71,101,18,1,14,163,66,2,1,58,8,1,83,8,0,3,0.26,0.365,0.419,0.784,0.146,104.8,150343,2024,15034,107.0,99.0,862.1,1.529,409.0,186.0,212.0,11.0,97.3,4.15,7.13,0.0,2.13,-1.29,0.0,0.0,0.0,0.0,7.96,10.52,8.78,16.74,0.727,0.0,0,0,0,0,1,0,0,0,1118100,14000.0,21000.0,19946.03
김영웅,2.29,126,1.59,0.71,509,508,456,65,115,16,3,28,221,79,9,2,45,3,0,155,2,1,4,0.252,0.321,0.485,0.806,0.137,97.8,150353,2024,15035,132.0,114.0,979.0,0.82,356.0,141.0,200.0,15.0,0.958,3.135,7.06,0.0,0.27,1.29,0.0,0.0,0.0,0.0,8.13,8.869,0.844,8.974,0.743,0.0,0,0,1,0,0,0,0,0,1118100,3800.0,15000.0,14290.746
이성규,1.11,122,1.02,0.08,355,351,302,56,73,10,1,22,151,57,9,2,31,15,0,109,5,4,3,0.242,0.339,0.5,0.839,0.149,106.1,125623,2024,12562,127.0,77.0,690.0,-0.013,319.0,301.0,12.0,6.0,0.981,4.083,2.81,-1.07,-0.77,0.0,0.0,0.0,0.0,0.0,0.97,1.1,-1.111,-0.141,0.089,0.0,0,0,0,1,0,0,0,0,1118100,6000.0,13000.0,12467.35
김헌곤,1.05,117,0.87,0.18,311,307,281,43,85,8,1,9,122,34,4,2,22,3,0,50,5,4,1,0.302,0.358,0.434,0.792,0.142,101.0,106403,2024,10640,118.0,66.0,621.0,0.076,166.0,165.0,0.0,1.0,0.994,2.391,0.87,0.46,0.79,0.0,0.0,0.0,0.0,0.0,2.12,2.587,-1.292,0.828,0.194,0.0,0,0,0,0,0,1,0,0,1118100,6000.0,10000.0,11123.65
윤정빈,1.05,69,0.67,0.38,188,188,161,26,46,4,1,7,73,20,1,3,22,3,0,47,1,0,2,0.286,0.378,0.453,0.831,0.159,113.7,131613,2024,13161,63.0,35.0,348.0,0.299,97.0,95.0,2.0,0.0,1.0,2.509,2.9,0.38,1.05,0.0,0.0,0.0,0.0,0.0,4.34,9.92,-1.071,3.269,0.397,0.0,0,0,0,1,0,0,0,0,1118100,3700.0,7400.0,7482.5
박병호,0.53,76,0.4,0.13,285,285,249,42,61,5,0,20,126,60,3,0,31,3,0,83,5,0,2,0.245,0.333,0.506,0.839,0.149,106.8,104703,2024,10470,31.0,29.0,248.2,-0.049,253.0,223.0,28.0,2.0,99.2,9.08,1.37,0.0,0.23,0.0,0.25,0.0,0.0,0.0,1.85,2.22,-2.38,-0.53,0.169,0.0,1,0,0,0,0,0,0,0,1118100,70000.0,38000.0,45045.932
디아즈,0.53,29,0.21,0.32,118,118,110,14,31,5,0,7,57,19,0,0,6,2,0,25,2,0,0,0.282,0.331,0.518,0.849,0.152,107.9,161623,2024,16162,18.0,18.0,151.0,0.206,136.0,121.0,14.0,1.0,99.3,8.05,3.48,0.0,0.24,0.0,0.06,0.0,0.0,0.0,3.78,18.77,-1.52,2.26,0.345,0.0,1,0,0,0,0,0,0,0,1118100,5000.0,70000.0,46579.4
전병우,0.3,58,-0.07,0.36,128,128,111,17,25,5,0,5,45,14,0,1,14,1,0,42,3,0,2,0.225,0.313,0.405,0.718,0.11,77.9,114223,2024,11422,53.0,34.0,292.0,0.404,102.0,47.0,52.0,3.0,0.971,3.051,3.18,0.0,0.46,0.96,0.0,0.0,0.0,0.0,4.43,12.036,-0.005,4.425,0.405,0.0,0,0,1,0,0,0,0,0,1118100,6000.0,7500.0,7246.9
이병헌,0.1,95,0.23,-0.13,166,164,145,9,36,4,0,1,43,9,0,0,17,2,0,48,0,2,0,0.248,0.335,0.297,0.632,0.094,66.8,141173,2024,14117,90.0,44.0,421.2,0.234,365.0,341.0,21.0,3.0,99.2,7.73,-0.5,0.0,0.02,0.0,-0.44,0.01,-0.57,0.0,-1.31,-1.98,3.86,2.56,-0.119,0.0,0,0,0,0,0,0,0,1,1118100,4000.0,6500.0,6146.0
류지혁,0.09,100,0.42,-0.34,348,343,302,43,78,9,1,3,98,36,11,4,33,6,0,70,7,5,2,0.258,0.341,0.325,0.666,0.106,76.0,108943,2024,10894,115.0,85.0,685.0,-0.113,306.0,158.0,141.0,7.0,0.977,3.928,-2.78,0.0,1.23,-1.2,0.0,0.0,0.0,0.0,-2.65,-3.318,1.416,-1.234,-0.242,0.0,0,1,0,0,0,0,0,0,1118100,20000.0,60000.0,18879.248
김민수,0.07,9,0.09,-0.02,8,8,8,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0,0,0.25,0.25,0.625,0.875,0.136,99.8,112663,2024,11266,8.0,1.0,23.0,0.001,14.0,12.0,2.0,0.0,100.0,5.48,-0.09,0.0,0.08,0.0,0.0,0.0,-0.22,0.0,-0.16,-2.58,0.17,0.01,-0.015,0.0,0,0,0,0,0,0,0,1,1118100,4600.0,4600.0,4537.74
양도근,0.04,16,0.01,0.03,29,28,23,5,4,0,1,0,6,2,0,0,5,0,0,8,0,1,0,0.174,0.321,0.261,0.582,0.085,58.1,158753,2024,15875,18.0,7.0,77.0,0.064,38.0,18.0,20.0,0.0,1.0,4.442,-0.67,0.0,0.55,0.66,0.0,0.0,0.0,0.0,0.53,4.24,0.171,0.701,0.048,0.0,0,1,0,0,0,0,0,0,1118100,3000.0,3500.0,3689.94
김성윤,-0.03,32,-0.07,0.04,89,86,74,15,18,4,0,0,22,6,3,1,9,1,0,16,1,3,2,0.243,0.326,0.297,0.623,0.088,65.0,129363,2024,12936,36.0,17.0,176.0,0.035,51.0,49.0,2.0,0.0,1.0,2.608,1.03,-0.96,0.42,0.0,0.0,0.0,0.0,0.0,0.49,1.96,-0.105,0.385,0.045,0.0,0,0,0,1,0,0,0,0,1118100,10000.0,7000.0,7312.8
김태훈,-0.05,12,-0.14,0.09,21,21,20,2,4,1,0,0,5,1,0,0,0,1,0,3,1,0,0,0.2,0.238,0.25,0.488,0.027,18.5,113363,2024,11336,7.0,2.0,31.0,0.087,6.0,6.0,0.0,0.0,1.0,1.742,0.64,0.32,0.07,0.0,0.0,0.0,0.0,0.0,1.03,21.189,-0.073,0.957,0.094,0.0,0,0,0,1,0,0,0,0,1118100,4100.0,4500.0,4391.92
카디네스,-0.06,7,0.11,-0.18,25,25,24,2,8,2,0,2,16,5,0,1,1,0,0,6,1,0,0,0.333,0.36,0.667,1.027,0.21,145.5,161563,2024,16156,7.0,5.0,34.0,-0.188,9.0,9.0,0.0,0.0,1.0,2.382,-1.73,-0.31,0.1,0.0,0.0,0.0,0.0,0.0,-1.93,-39.703,-0.123,-2.053,-0.176,0.0,0,0,0,1,0,0,0,0,1118100,32700.0,58500.0,53198.096
김도환,-0.11,1,-0.07,-0.04,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,141153,2024,14115,1.0,1.0,6.0,-0.032,5.0,5.0,0.0,0.0,100.0,7.5,-0.09,0.0,0.02,0.0,0.0,-0.14,-0.3,0.0,-0.42,-60.41,0.07,-0.35,-0.038,0.0,0,0,0,0,0,0,0,1,1118100,5000.0,4700.0,4681.4
공민규,-0.16,12,-0.08,-0.08,17,17,14,1,1,0,0,1,4,2,0,0,1,2,0,9,1,0,0,0.071,0.235,0.286,0.521,0.056,39.5,131643,2024,13164,11.0,4.0,38.0,-0.115,16.0,6.0,9.0,1.0,0.938,3.553,-1.01,0.0,-0.26,0.0,0.0,0.0,0.0,0.0,-1.25,-16.364,-0.004,-1.254,-0.114,0.0,0,0,1,0,0,0,0,0,1118100,4100.0,4300.0,4439.44
양우현,-0.17,7,-0.32,0.15,15,14,13,0,0,0,0,0,0,1,0,0,1,0,0,6,1,1,0,0.0,0.071,0.0,0.071,-0.138,-92.5,141163,2024,14116,6.0,4.0,34.0,0.167,19.0,8.0,11.0,0.0,1.0,5.029,1.08,0.0,0.2,0.43,0.0,0.0,0.0,0.0,1.72,41.28,0.108,1.828,0.157,0.0,0,1,0,0,0,0,0,0,1118100,3700.0,4000.0,4141.2
이창용,-0.24,9,-0.23,-0.01,21,21,21,1,4,1,0,0,5,2,0,0,0,0,0,4,0,0,0,0.19,0.19,0.238,0.428,-0.013,-9.2,148663,2024,14866,7.0,5.0,41.0,-0.031,33.0,29.0,3.0,1.0,0.97,7.024,0.24,0.0,-0.29,0.0,0.0,0.0,0.0,0.0,-0.05,-1.029,-0.291,-0.341,-0.005,0.0,1,0,0,0,0,0,0,0,1118100,3000.0,3300.0,3351.6
김재성,-0.24,10,-0.08,-0.16,23,23,20,3,4,1,0,0,5,1,0,0,3,0,0,5,1,0,0,0.2,0.304,0.25,0.554,0.066,47.7,113443,2024,11344,8.0,3.0,34.0,-0.179,27.0,23.0,3.0,1.0,0.963,6.882,-0.56,0.0,-0.38,0.0,-0.82,0.0,-0.75,0.0,-2.22,-39.96,0.261,-1.959,-0.203,0.0,0,0,0,0,0,0,0,1,1118100,7000.0,5500.0,12554.7
김동엽,-0.29,8,-0.29,0.0,21,20,18,1,2,1,0,0,3,2,0,0,1,1,1,5,0,0,1,0.111,0.19,0.167,0.357,-0.031,-21.5,125483,2024,12548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1118100,8000.0,5000.0,5476.9
김호진,-0.4,26,-0.47,0.07,32,32,29,4,2,0,0,0,2,3,0,0,1,1,0,11,1,0,1,0.069,0.125,0.069,0.194,-0.088,-60.7,158683,2024,15868,24.0,7.0,80.0,0.101,18.0,6.0,12.0,0.0,1.0,2.025,0.04,0.0,0.59,0.32,0.0,0.0,0.0,0.0,1.03,6.18,0.07,1.1,0.094,0.0,0,0,1,0,0,0,0,0,1118100,3000.0,3250.0,3452.6
강한울,-0.47,18,-0.47,0.01,25,22,21,1,2,0,0,0,2,1,0,0,0,0,0,6,1,3,1,0.095,0.091,0.095,0.186,-0.114,-81.5,112553,2024,11255,21.0,3.0,70.0,0.027,27.0,6.0,20.0,1.0,0.963,3.343,0.36,0.0,-0.04,-0.04,0.0,0.0,0.0,0.0,0.27,1.851,0.03,0.3,0.025,0.0,0,0,1,0,0,0,0,0,1118100,10000.0,7000.0,7286.7
김재혁,-0.49,35,-0.53,0.04,54,54,49,6,9,2,1,0,13,6,2,2,3,0,0,19,2,0,2,0.184,0.222,0.265,0.487,0.017,11.6,150363,2024,15036,31.0,9.0,104.0,0.039,47.0,42.0,4.0,1.0,0.979,3.981,1.03,-0.37,-0.19,0.0,0.0,0.0,0.0,0.0,0.52,2.415,-0.09,0.43,0.048,0.0,0,0,0,0,0,0,1,0,1118100,3000.0,3500.0,3490.73
안주형,-0.92,82,-0.57,-0.35,166,154,142,24,31,2,0,0,33,8,4,2,11,1,0,39,3,12,0,0.218,0.279,0.232,0.511,0.041,29.2,129883,2024,12988,89.0,42.0,420.0,-0.181,228.0,94.0,131.0,3.0,0.987,4.821,-3.78,0.0,1.19,-0.57,0.0,0.0,0.0,0.0,-3.16,-5.113,1.175,-1.985,-0.289,0.0,0,1,0,0,0,0,0,0,1118100,5200.0,7000.0,7115.25
최정,4.55,129,4.65,-0.09,550,550,468,93,136,27,2,37,278,107,5,1,55,20,1,114,10,0,7,0.291,0.384,0.594,0.978,0.202,145.9,101064,2024,10106,122.0,116.0,955.0,0.013,239.0,57.0,169.0,13.0,0.946,2.13,-1.0,0.0,0.03,0.95,0.0,0.0,0.0,0.0,0.14,0.165,0.0,0.14,0.013,0.0,0,0,1,0,0,0,0,0,1045700,100000.0,170000.0,72243.61
에레디아,4.42,136,4.09,0.33,591,588,541,82,195,31,1,21,291,118,4,3,28,13,3,73,12,0,9,0.36,0.399,0.538,0.937,0.191,137.2,155304,2024,15530,119.0,116.0,989.0,-0.113,225.0,214.0,8.0,3.0,0.987,2.02,3.59,-0.08,0.14,0.0,0.0,0.0,0.0,0.0,3.65,4.417,-4.886,-1.236,0.333,1.0,0,0,0,0,0,1,0,0,1045700,115000.0,224000.0,76856.714
박성한,3.6,137,3.5,0.1,564,559,489,78,147,24,0,10,201,67,13,3,64,2,3,86,11,3,6,0.301,0.38,0.411,0.791,0.145,104.0,129224,2024,12922,135.0,128.0,1115.0,1.059,564.0,209.0,332.0,23.0,95.9,4.37,1.35,0.0,-1.65,0.75,0.0,0.0,0.0,0.0,0.45,0.47,11.14,11.59,0.041,0.0,0,0,0,0,1,0,0,0,1045700,30000.0,37000.0,40573.598
정준재,1.8,88,1.52,0.28,240,237,215,40,66,8,5,1,87,23,16,5,19,3,0,49,3,3,0,0.307,0.371,0.405,0.776,0.143,103.2,160424,2024,16042,78.0,57.0,476.0,0.423,248.0,89.0,156.0,3.0,0.988,4.632,3.38,0.0,1.46,-0.84,0.0,0.0,0.0,0.0,3.33,6.148,1.303,4.633,0.304,0.0,0,1,0,0,0,0,0,0,1045700,3000.0,7500.0,7834.05
최지훈,1.76,125,2.03,-0.27,543,537,483,89,133,22,7,11,202,49,32,5,50,2,0,71,5,6,2,0.275,0.345,0.418,0.763,0.128,92.2,145874,2024,14587,119.0,113.0,989.2,-0.297,249.0,237.0,5.0,7.0,97.2,2.2,-2.9,1.1,-1.45,0.0,0.0,0.0,0.0,0.0,-3.25,-3.74,0.0,-3.25,-0.297,0.0,0,0,0,0,0,0,1,0,1045700,25000.0,30000.0,33738.118
이지영,1.53,123,0.96,0.57,432,425,398,45,111,11,1,5,139,50,8,1,18,7,0,35,10,7,2,0.279,0.32,0.349,0.669,0.097,70.1,103124,2024,10312,117.0,105.0,914.2,1.513,987.0,919.0,61.0,7.0,99.3,9.64,1.2,0.0,-0.21,0.0,0.1,1.67,5.34,0.0,6.5,7.61,10.06,16.56,0.594,0.0,0,0,0,0,0,0,0,1,1045700,20000.0,15000.0,20862.532
오태곤,1.29,117,1.19,0.09,288,281,247,43,68,16,0,9,111,36,27,4,31,1,2,73,4,6,3,0.275,0.355,0.449,0.804,0.143,102.4,102494,2024,10249,127.0,58.0,634.0,-0.16,501.0,458.0,39.0,4.0,0.992,7.055,-1.09,1.1,0.71,0.0,0.0,0.0,0.0,0.0,1.04,1.179,-2.788,-1.748,0.095,0.0,1,0,0,0,0,0,0,0,1045700,40000.0,30000.0,34287.194
최준우,0.17,18,0.28,-0.11,34,34,25,2,6,2,0,0,8,5,0,0,9,0,0,8,0,0,0,0.24,0.441,0.32,0.761,0.171,126.9,131284,2024,13128,14.0,6.0,53.0,-0.082,29.0,11.0,16.0,2.0,0.931,4.585,-0.39,0.0,-0.68,0.0,0.0,0.0,0.0,0.0,-1.06,-10.903,0.157,-0.903,-0.097,0.0,0,1,0,0,0,0,0,0,1045700,4500.0,3200.0,3702.37
최상민,0.12,43,-0.01,0.13,13,13,12,9,2,2,0,0,4,1,2,1,0,1,0,5,0,0,0,0.167,0.231,0.333,0.564,0.058,42.6,131954,2024,13195,38.0,1.0,63.0,0.131,25.0,23.0,2.0,0.0,1.0,3.571,0.13,1.17,0.16,0.0,0.0,0.0,0.0,0.0,1.45,5.495,-0.021,1.429,0.132,0.0,0,0,0,1,0,0,0,0,1045700,3200.0,3200.0,4516.0
박지환,0.09,76,0.49,-0.4,249,246,228,33,63,9,2,4,88,21,8,3,12,3,0,61,3,3,3,0.276,0.317,0.386,0.703,0.106,75.2,160384,2024,16038,63.0,50.0,444.0,-0.28,256.0,115.0,133.0,8.0,0.969,5.027,-4.36,0.0,-1.3,0.92,0.0,0.0,0.0,0.0,-4.74,-10.834,1.68,-3.06,-0.433,0.0,0,1,0,0,0,0,0,0,1045700,3000.0,6200.0,6444.05
김창평,-0.06,6,-0.1,0.04,9,9,7,1,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0.0,0.222,0.0,0.222,-0.029,-22.1,141464,2024,14146,1.0,1.0,4.0,0.041,3.0,3.0,0.0,0.0,100.0,6.75,0.46,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.47,11.34,-0.02,0.45,0.043,0.0,0,0,0,0,0,1,0,0,1045700,3100.0,3100.0,3094.85
최민창,-0.07,7,-0.06,0.0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-133.8,113514,2024,11351,6.0,0.0,8.0,-0.005,2.0,2.0,0.0,0.0,1.0,2.25,-0.39,0.33,0.01,0.0,0.0,0.0,0.0,0.0,-0.05,-1.2,-0.005,-0.055,-0.005,0.0,0,0,0,1,0,0,0,0,1045700,3000.0,3000.0,3082.0
조형우,-0.08,19,0.08,-0.16,38,38,33,4,8,0,0,0,8,4,0,0,1,4,0,6,0,0,0,0.242,0.342,0.242,0.584,0.094,66.6,148064,2024,14806,19.0,9.0,90.1,-0.077,86.0,79.0,6.0,1.0,98.8,8.47,-0.01,0.0,-0.18,0.0,0.0,0.12,-2.42,0.0,-1.76,-13.33,0.91,-0.85,-0.161,0.0,0,0,0,0,0,0,0,1,1045700,6300.0,4000.0,4648.3
강진성,-0.16,16,-0.26,0.1,31,30,27,4,5,0,0,0,5,2,0,0,3,0,0,5,0,1,0,0.185,0.267,0.185,0.452,0.022,16.4,111484,2024,11148,3.0,1.0,12.0,0.1,8.0,7.0,1.0,0.0,1.0,6.0,1.11,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.15,55.2,-0.06,1.09,0.105,0.0,1,0,0,0,0,0,0,0,1045700,8500.0,5500.0,6999.7
한유섬,-0.23,132,0.43,-0.67,523,519,464,64,109,29,0,24,210,87,0,1,46,9,3,142,2,1,3,0.235,0.314,0.453,0.767,0.125,89.3,108154,2024,10815,104.0,99.0,813.0,-1.017,172.0,165.0,0.0,7.0,0.959,1.827,-6.0,-0.06,-1.08,0.0,0.0,0.0,0.0,0.0,-7.14,-9.886,-3.993,-11.133,-0.652,0.0,0,0,0,1,0,0,0,0,1045700,90000.0,90000.0,78526.174
정현승,-0.25,23,-0.17,-0.08,31,31,29,1,7,0,0,1,10,4,1,0,2,0,0,6,0,0,0,0.241,0.29,0.345,0.635,0.076,53.9,160434,2024,16043,21.0,8.0,86.0,-0.087,15.0,15.0,0.0,0.0,1.0,1.57,-1.23,0.16,0.2,0.0,0.0,0.0,0.0,0.0,-0.87,-5.966,-0.085,-0.955,-0.079,0.0,0,0,0,1,0,0,0,0,1045700,3000.0,3000.0,3344.6
김찬형,-0.26,5,-0.23,-0.03,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.19,-139.6,126224,2024,12622,5.0,2.0,24.0,-0.02,10.0,6.0,4.0,0.0,1.0,3.75,-0.39,0.0,0.17,0.0,0.0,0.0,0.0,0.0,-0.24,-6.912,0.016,-0.224,-0.022,0.0,0,0,1,0,0,0,0,0,1045700,5000.0,3200.0,4459.5
김민식,-0.26,45,-0.05,-0.21,126,122,106,10,22,5,0,1,30,10,0,0,16,0,0,33,2,4,0,0.208,0.311,0.283,0.594,0.079,56.5,107074,2024,10707,40.0,30.0,264.2,0.064,240.0,224.0,16.0,0.0,100.0,8.16,0.64,0.0,0.96,0.0,0.03,-1.79,-2.92,0.0,-2.2,-7.05,2.9,0.7,-0.201,0.0,0,0,0,0,0,0,0,1,1045700,15000.0,25000.0,22283.4
김성현,-0.49,71,0.03,-0.53,167,162,141,21,32,3,1,1,40,15,2,0,16,4,0,28,7,5,1,0.227,0.321,0.284,0.605,0.085,60.3,106364,2024,10636,78.0,39.0,390.0,-0.405,178.0,64.0,108.0,6.0,0.966,3.969,-4.03,0.0,-0.24,-0.83,0.0,0.0,0.0,0.0,-5.04,-9.305,0.609,-4.431,-0.46,0.0,0,1,0,0,0,0,0,0,1045700,20000.0,15000.0,14949.0
하재훈,-0.74,107,0.11,-0.85,317,315,290,40,72,19,0,10,121,36,15,2,18,2,0,90,5,2,5,0.248,0.292,0.417,0.709,0.102,73.9,141474,2024,14147,100.0,73.0,666.0,-1.018,140.0,128.0,5.0,7.0,0.95,1.797,-8.65,0.45,-2.04,0.0,0.0,0.0,0.0,0.0,-10.25,-14.76,-0.896,-11.146,-0.937,0.0,0,0,0,0,0,1,0,0,1045700,10000.0,9000.0,11297.09
고명준,-0.76,106,-0.97,0.21,366,366,340,33,85,13,0,11,131,45,3,4,25,1,0,90,4,0,0,0.25,0.303,0.385,0.688,0.095,68.1,148074,2024,14807,93.0,87.0,668.0,-0.348,631.0,584.0,42.0,5.0,0.992,8.434,1.77,0.0,0.8,0.0,0.0,0.0,0.0,0.0,2.62,4.057,-6.43,-3.81,0.239,0.0,1,0,0,0,0,0,0,0,1045700,3000.0,8000.0,8300.816
안상현,-0.8,37,-0.58,-0.22,75,74,70,3,12,1,0,0,13,2,1,1,4,0,0,14,0,1,0,0.171,0.216,0.186,0.402,-0.01,-7.2,126134,2024,12613,34.0,23.0,193.0,-0.255,96.0,34.0,57.0,5.0,0.948,4.244,-1.84,0.0,-1.31,-0.28,0.0,0.0,0.0,0.0,-3.35,-14.188,0.557,-2.793,-0.306,0.0,0,1,0,0,0,0,0,0,1045700,4000.0,3200.0,3565.2
박민우,4.7,121,4.11,0.58,528,520,457,75,150,26,2,8,204,50,32,7,54,9,4,79,5,4,4,0.328,0.406,0.446,0.852,0.172,129.6,111375,2024,11137,98.0,95.0,779.1,1.023,402.0,186.0,210.0,6.0,98.5,4.57,4.88,0.0,1.7,0.31,0.0,0.0,0.0,0.0,6.89,8.2,4.31,11.2,0.629,0.0,0,1,0,0,0,0,0,0,947275,170000.0,160000.0,71587.39
데이비슨,3.98,131,4.26,-0.28,567,565,504,90,154,25,1,46,319,119,0,1,39,17,5,142,12,0,7,0.306,0.37,0.633,1.003,0.203,153.9,160665,2024,16066,109.0,109.0,890.1,-1.16,813.0,733.0,69.0,11.0,98.6,8.11,-2.26,0.0,-1.12,0.0,0.08,0.0,0.0,0.0,-3.29,-3.62,-9.4,-12.69,-0.301,1.0,1,0,0,0,0,0,0,0,947275,91000.0,168000.0,73910.144
권희동,3.77,123,3.48,0.29,511,509,416,66,125,22,1,13,188,77,4,0,77,10,1,63,10,2,6,0.3,0.417,0.452,0.869,0.182,137.9,111725,2024,11172,129.0,113.0,915.0,-0.058,251.0,238.0,11.0,2.0,0.992,2.449,3.48,-0.36,0.16,0.0,0.0,0.0,0.0,0.0,3.28,3.661,-3.917,-0.637,0.3,0.0,0,0,0,0,0,1,0,0,947275,15000.0,22500.0,26257.216
김주원,3.75,134,3.07,0.68,475,466,385,61,97,18,2,9,146,49,16,6,51,25,1,111,5,9,5,0.252,0.371,0.379,0.75,0.143,108.4,147655,2024,14765,132.0,115.0,1023.2,1.722,501.0,196.0,287.0,18.0,96.4,4.25,9.13,0.0,0.05,0.26,0.0,0.0,0.0,0.0,9.43,10.13,9.42,18.85,0.861,0.0,0,0,0,0,1,0,0,0,947275,16000.0,20000.0,22825.65
박건우,2.64,89,2.96,-0.32,362,360,323,58,111,23,1,13,175,53,4,0,33,4,3,54,7,0,2,0.344,0.409,0.542,0.951,0.198,150.1,101895,2024,10189,71.0,69.0,537.0,-0.538,112.0,108.0,3.0,1.0,0.991,1.86,-4.14,-0.25,1.11,0.0,0.0,0.0,0.0,0.0,-3.28,-6.652,-2.605,-5.885,-0.3,0.0,0,0,0,1,0,0,0,0,947275,146666.0,136666.0,75264.39
