,Unnamed: 0,선수,팀,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,포지션,연봉(만원),팀연봉순위,전체연봉순위,계약금(만원)분할,연봉 총수령액(만원)
78,78,이주형,LG 트윈스,-0.07,14,-0.16,0.09,19,18,16,3,2,0,0,0,2,0,2,1,1,1,0,7,0,1,0,0.125,0.222,0.125,0.347,-0.011,-9.7,145916,2021,14591,1루수,3000.0,69.0,618.0,0.0,3000.0
79,79,이상호,LG 트윈스,-0.1,45,0.0,-0.1,68,66,65,5,20,2,0,0,22,12,2,1,1,0,0,10,2,2,0,0.308,0.318,0.338,0.656,0.088,77.2,111476,2021,11147,2루수,9000.0,32.0,249.0,0.0,9000.0
80,80,구본혁,LG 트윈스,-0.11,123,-0.32,0.21,45,44,38,10,5,2,0,0,7,3,0,0,3,1,0,7,0,1,2,0.132,0.205,0.184,0.389,-0.009,-7.6,141406,2021,14140,2루수,6300.0,39.0,345.0,0.0,6300.0
81,81,이성우,LG 트윈스,-0.12,36,-0.19,0.07,39,34,33,0,7,0,0,0,7,2,0,0,1,0,0,8,1,5,0,0.212,0.235,0.212,0.447,0.009,8.2,100046,2021,10004,포수,8000.0,34.0,271.0,0.0,8000.0
82,82,김주성,LG 트윈스,-0.15,3,0.12,-0.27,7,7,6,1,1,0,0,1,4,1,0,0,1,0,0,3,0,0,0,0.167,0.286,0.667,0.953,0.175,159.5,125456,2021,12545,3루수,3100.0,60.0,573.0,0.0,3100.0
83,83,김호은,LG 트윈스,-0.2,7,-0.24,0.04,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.179,-151.4,125546,2021,12554,1루수,5000.0,45.0,401.0,0.0,5000.0
84,84,김재성,LG 트윈스,-0.26,58,-0.32,0.06,73,72,65,6,9,2,1,1,16,3,1,0,5,1,0,13,2,1,1,0.138,0.208,0.246,0.454,0.011,9.9,113446,2021,11344,포수,3100.0,60.0,573.0,0.0,3100.0
85,85,손호영,LG 트윈스,-0.29,8,-0.09,-0.2,12,12,10,2,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0.1,0.25,0.1,0.35,0.005,4.1,145906,2021,14590,2루수,3700.0,54.0,478.0,0.0,3700.0
86,86,안익훈,LG 트윈스,-0.38,48,-0.11,-0.27,16,16,14,4,2,1,0,0,3,1,0,0,0,2,0,2,1,0,0,0.143,0.25,0.214,0.464,0.03,25.6,113476,2021,11347,중견수,5500.0,43.0,390.0,0.0,5500.0
87,87,이천웅,LG 트윈스,-0.41,68,-0.34,-0.07,211,210,181,20,36,7,0,2,49,16,3,2,25,3,0,23,11,1,1,0.199,0.305,0.271,0.576,0.073,62.6,109356,2021,10935,중견수,19000.0,17.0,130.0,0.0,19000.0
88,88,보어,LG 트윈스,-0.58,32,-0.49,-0.09,117,117,100,7,17,2,0,3,28,17,0,0,11,3,0,30,2,0,3,0.17,0.265,0.28,0.545,0.053,46.5,149886,2021,14988,1루수,45500.0,6.0,66.0,0.0,45500.0
89,89,전준우,롯데 자이언츠,3.89,144,4.4,-0.51,619,618,552,88,192,46,0,7,259,92,6,3,53,5,0,71,10,1,8,0.348,0.405,0.469,0.874,0.173,134.6,102662,2021,10266,좌익수,50000.0,5.0,57.0,0.0,50000.0
90,90,마차도,롯데 자이언츠,3.53,134,2.77,0.76,539,535,466,83,130,21,1,5,168,58,8,5,58,4,1,65,9,4,7,0.279,0.359,0.361,0.72,0.121,94.6,146292,2021,14629,유격수,84500.0,3.0,34.0,0.0,84500.0
91,91,한동희,롯데 자이언츠,3.0,129,2.8,0.2,496,494,424,54,113,24,0,17,188,69,0,1,61,6,1,95,21,1,4,0.267,0.364,0.443,0.807,0.151,118.4,131452,2021,13145,3루수,11000.0,17.0,197.0,0.0,11000.0
92,92,안치홍,롯데 자이언츠,2.92,119,3.52,-0.61,490,484,421,58,129,30,2,10,193,82,3,6,52,3,2,58,10,5,9,0.306,0.379,0.458,0.837,0.156,122.3,100142,2021,10014,2루수,29000.0,10.0,94.0,0.0,29000.0
93,93,정훈,롯데 자이언츠,2.66,135,2.62,0.04,561,553,486,70,142,27,1,14,213,79,8,1,68,3,8,89,6,1,3,0.292,0.38,0.438,0.818,0.157,122.2,102532,2021,10253,1루수,10000.0,19.0,218.0,0.0,10000.0
94,94,손아섭,롯데 자이언츠,2.57,139,2.91,-0.34,610,605,542,88,173,29,2,3,215,58,11,6,61,3,3,67,15,3,1,0.319,0.39,0.397,0.787,0.147,114.7,102612,2021,10261,우익수,50000.0,5.0,57.0,0.0,50000.0
95,95,안중열,롯데 자이언츠,1.12,58,0.78,0.34,157,154,125,19,29,5,0,3,43,16,0,0,27,1,0,25,1,3,1,0.232,0.37,0.344,0.714,0.116,90.4,113292,2021,11329,포수,4700.0,37.0,425.0,0.0,4700.0
96,96,지시완,롯데 자이언츠,0.88,73,0.91,-0.03,187,185,166,23,40,9,0,7,70,26,0,0,14,5,0,54,6,2,0,0.241,0.319,0.422,0.741,0.121,95.0,114132,2021,11413,포수,3500.0,45.0,491.0,0.0,3500.0
97,97,추재현,롯데 자이언츠,0.77,95,0.61,0.16,300,295,262,37,66,15,0,5,96,26,4,3,26,7,0,57,3,5,0,0.252,0.336,0.366,0.702,0.113,87.9,130942,2021,13094,중견수,3400.0,48.0,509.0,0.0,3400.0
98,98,이대호,롯데 자이언츠,0.69,114,0.94,-0.25,465,463,420,39,120,11,0,19,188,81,0,0,34,5,3,50,12,0,6,0.286,0.342,0.448,0.79,0.138,106.9,102512,2021,10251,1루수,80000.0,2.0,15.0,40000.0,120000.0
99,99,김준태,롯데 자이언츠,0.44,47,0.54,-0.1,131,131,111,17,23,5,0,4,40,15,0,0,17,1,0,35,2,0,2,0.207,0.313,0.36,0.673,0.101,77.5,108352,2021,10835,포수,6500.0,38.0,340.0,0.0,6500.0
100,100,김민수,롯데 자이언츠,0.38,82,0.33,0.05,224,221,199,19,48,11,1,3,70,25,0,0,18,3,0,62,4,3,1,0.241,0.312,0.352,0.664,0.095,74.6,129312,2021,12931,2루수,3200.0,52.0,544.0,0.0,3200.0
101,101,김재유,롯데 자이언츠,0.14,87,0.55,-0.41,192,188,174,27,50,8,0,1,61,18,7,0,10,4,0,36,1,4,0,0.287,0.34,0.351,0.691,0.108,84.4,114832,2021,11483,중견수,4200.0,40.0,449.0,0.0,4200.0
102,102,이호연,롯데 자이언츠,0.12,7,-0.09,0.21,11,11,9,0,2,0,0,0,2,1,0,0,1,0,0,1,1,0,1,0.222,0.273,0.222,0.495,0.032,24.8,131512,2021,13151,1루수,3000.0,63.0,618.0,0.0,3000.0
