Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,pid,연도,수상횟수,연봉,샐러리캡,이후연봉,예측연봉
윤중현,11,0,11,4,0,0,0,0,0,0,10.1,16,17,19.25,62,22,2,1,4,9,3,1,4,1,0,0,13.94,14.81,16.77,16.88,11.14,3.0,-0.82,13122,2024,0.0,6500.0,1124900,6000.0,7542.6
쿠에바스,31,31,0,0,0,0,7,12,0,0,173.1,79,86,86.0,737,158,36,3,17,59,7,4,154,11,1,11,4.1,4.47,4.47,4.34,4.25,1.25,5.06,13942,2024,0.0,100000.0,1051641,140000.0,118102.1
엄상백,29,29,0,0,0,0,13,10,0,0,156.2,85,88,85.4,675,164,26,3,26,42,7,0,159,3,0,2,4.88,5.06,4.91,4.74,4.61,1.31,3.93,11318,2024,0.0,25000.0,1051641,90000.0,48800.9
박영현,66,0,66,52,0,0,10,2,25,0,76.2,30,31,32.85,310,63,7,1,12,22,0,2,87,3,0,1,3.52,3.64,3.86,3.82,4.07,1.11,2.72,15089,2024,1.0,16000.0,1051641,24000.0,24671.336
김민,71,1,70,5,0,0,8,4,0,21,77.1,37,38,36.45,336,84,13,0,5,27,2,3,77,3,0,5,4.31,4.42,4.24,4.2,3.6,1.44,2.1,13167,2024,0.0,5000.0,1051641,11000.0,13159.73
고영표,18,17,1,0,0,0,6,8,0,0,100.0,55,61,59.8,456,141,27,4,6,14,11,0,79,4,1,2,4.95,5.49,5.38,5.31,3.71,1.55,1.86,11308,2024,0.0,200000.0,1051641,200000.0,74072.228
우규민,45,0,45,15,0,0,4,1,1,4,43.1,12,14,15.9,181,47,7,2,1,2,2,0,39,4,0,0,2.49,2.91,3.3,3.15,2.51,1.13,1.48,10523,2024,0.0,22000.0,1051641,20000.0,28916.382
김민수,75,0,75,6,0,0,5,3,0,12,81.1,47,56,54.45,358,84,13,5,8,33,1,2,75,8,0,3,5.2,6.2,6.03,5.92,4.28,1.44,0.7,11317,2024,0.0,16000.0,1051641,21000.0,15910.16
육청명,13,10,3,1,0,0,1,5,0,0,44.2,27,31,28.95,208,52,13,1,6,20,6,2,20,6,0,3,5.44,6.25,5.83,5.85,6.41,1.61,0.61,16028,2024,0.0,3000.0,1051641,3500.0,6874.42
조이현,16,9,7,2,0,0,1,2,0,0,40.0,28,29,27.4,184,53,11,1,9,10,1,1,19,1,0,1,6.3,6.53,6.17,5.93,6.46,1.58,0.55,11284,2024,0.0,6000.0,1051641,5700.0,6367.42
박시영,26,0,26,5,0,0,0,1,1,4,25.1,13,13,15.4,110,27,8,1,4,7,1,1,23,0,0,3,4.62,4.62,5.47,5.36,4.67,1.34,0.36,10737,2024,0.0,9000.0,1051641,5000.0,8673.7
소형준,6,0,6,1,0,0,2,0,0,0,8.1,3,3,2.5,30,7,2,0,1,1,1,0,3,0,0,0,3.24,3.24,2.7,2.59,5.47,0.96,0.33,14600,2024,0.0,22000.0,1051641,22000.0,32784.28
손동현,42,0,42,10,0,0,1,2,1,4,47.1,28,31,33.05,214,50,6,1,5,20,1,2,27,3,0,3,5.32,5.89,6.28,6.24,5.34,1.48,0.28,14108,2024,0.0,12000.0,1051641,10000.0,10452.5
이선우,6,1,5,3,0,0,0,0,0,0,10.0,6,6,5.35,45,10,0,0,0,4,2,0,4,0,0,0,5.4,5.4,4.82,5.05,5.06,1.4,0.14,14111,2024,0.0,4000.0,1051641,3800.0,4509.0
