Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid
29,이학주,23 SS,-0.17,104,0.14,-0.31,122,122,110,22,23,2,0,3,34,13,4,1,11,1,0,31,2,0,0,0.209,0.287,0.309,0.596,0.075,61.7,141142
30,김민수,23 3B,-0.26,25,-0.04,-0.22,51,50,43,4,9,1,1,0,12,2,0,0,7,0,0,17,2,1,0,0.209,0.32,0.279,0.599,0.088,71.4,129312
31,신윤후,23 LF,-0.38,28,-0.43,0.05,27,27,25,2,1,0,0,0,1,1,1,0,0,2,0,8,0,0,0,0.04,0.111,0.04,0.151,-0.086,-72.6,141692
32,정대선,23 2B,-0.54,19,-0.36,-0.18,47,46,40,5,6,1,0,0,7,6,0,0,2,2,0,8,0,1,2,0.15,0.217,0.175,0.392,0.002,2.0,154432
33,한동희,23 3B,-1.81,108,-0.94,-0.88,353,351,319,30,71,11,0,5,97,32,1,3,26,1,0,58,16,2,5,0.223,0.279,0.304,0.583,0.067,55.5,131452
1,박찬호,23 SS,4.09,130,3.64,0.46,507,500,452,73,136,18,4,3,171,52,30,8,40,2,0,56,13,7,6,0.301,0.356,0.378,0.734,0.127,109.5,112610
2,소크라테스,23 CF,3.88,142,3.51,0.37,608,606,547,91,156,31,3,20,253,96,15,6,52,1,4,80,13,0,8,0.285,0.344,0.463,0.807,0.144,125.0,149960
3,최형우,23 DH,3.73,121,4.11,-0.38,508,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,0.302,0.4,0.487,0.887,0.183,159.4,103440
4,김도영,23 3B,3.64,84,3.14,0.5,385,382,340,72,103,20,5,7,154,47,25,4,38,1,1,62,14,2,4,0.303,0.371,0.453,0.824,0.156,134.4,150560
5,나성범,23 RF,3.57,58,3.88,-0.31,253,253,222,51,81,12,1,18,149,57,0,0,26,1,0,36,1,0,4,0.365,0.427,0.671,1.098,0.243,209.8,111620
6,김선빈,23 2B,2.62,119,2.83,-0.21,473,465,419,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,0.32,0.381,0.358,0.739,0.132,114.9,100080
7,이우성,23 RF,2.3,126,1.92,0.38,400,393,355,39,107,17,0,8,148,58,8,1,31,5,4,81,10,6,3,0.301,0.363,0.417,0.78,0.141,122.4,110990
8,이창진,23 LF,1.36,104,1.37,-0.01,284,282,244,35,66,11,3,4,95,29,9,2,34,2,1,44,6,2,2,0.27,0.362,0.389,0.751,0.135,117.7,112330
9,고종욱,23 LF,0.56,114,0.68,-0.12,286,286,270,35,80,17,0,3,106,39,2,2,14,0,0,58,3,0,2,0.296,0.329,0.393,0.722,0.115,99.6,106590
10,한준수,23 C,0.52,48,0.32,0.2,94,93,86,9,22,4,0,2,32,12,0,0,7,0,0,26,2,1,0,0.256,0.312,0.372,0.684,0.104,89.2,131130
11,김규성,23 2B,0.52,99,0.32,0.2,177,172,158,29,37,6,1,2,51,11,6,2,13,1,0,43,2,5,0,0.234,0.297,0.323,0.62,0.083,71.8,125400
12,최원준,23 1B,0.35,67,0.45,-0.1,274,270,239,37,61,11,2,1,79,23,13,5,31,0,0,39,5,4,0,0.255,0.341,0.331,0.672,0.109,94.2,125340
13,박정우,23 RF,0.24,21,0.03,0.2,12,9,9,2,3,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0.333,0.333,0.333,0.666,0.093,80.3,128690
14,김호령,23 CF,0.19,76,-0.36,0.55,107,104,95,16,17,7,0,0,24,6,1,0,8,1,0,38,1,3,0,0.179,0.25,0.253,0.503,0.043,37.8,112980
15,최정용,23 2B,0.16,56,-0.16,0.32,41,38,36,17,6,1,0,0,7,1,4,0,2,0,0,9,0,3,0,0.167,0.211,0.194,0.405,0.001,0.6,114070
16,홍종표,23 2B,0.11,40,0.06,0.05,12,11,7,10,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0.0,0.364,0.0,0.364,0.079,64.9,146120
17,김선우,23 C,0.02,5,-0.08,0.1,7,7,7,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.143,0.143,0.143,0.286,-0.056,-48.3,148220
18,정해영,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,146080
18,김기훈,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141760
18,박준표,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,110700
18,윤중현,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,131220
18,황동하,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,150630
23,류지혁,23 3B,-0.03,66,0.6,-0.62,253,250,220,28,59,6,1,0,67,17,4,2,27,3,1,43,5,2,1,0.268,0.355,0.305,0.66,0.106,93.8,108940
24,윤도현,23 3B,-0.06,1,-0.03,-0.04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.167,-149.7,150580
25,김태군,23 C,-0.21,65,-0.09,-0.12,203,198,186,17,48,6,0,0,54,24,2,1,5,4,0,19,9,5,3,0.258,0.288,0.29,0.578,0.064,54.9,104590
26,신범수,23 C,-0.21,36,-0.25,0.04,100,98,88,7,15,3,0,2,24,10,0,0,7,2,0,19,3,2,1,0.17,0.245,0.273,0.518,0.042,37.4,125410
27,오선우,23 1B,-0.23,33,-0.13,-0.1,31,31,28,2,5,0,0,2,11,5,0,0,3,0,0,15,0,0,0,0.179,0.258,0.393,0.651,0.084,73.2,141810
28,황대인,23 1B,-0.27,60,-0.48,0.21,199,198,174,19,37,4,0,5,56,26,0,0,18,4,2,50,6,0,3,0.213,0.296,0.322,0.618,0.081,70.5,113060
29,변우혁,23 1B,-0.33,83,0.11,-0.44,226,226,200,23,45,4,0,7,70,24,0,0,23,3,1,74,4,0,0,0.225,0.314,0.35,0.664,0.1,88.1,141240
30,김석환,23 1B,-0.43,12,-0.3,-0.14,26,25,23,1,3,1,0,0,4,3,0,0,2,0,0,9,1,1,0,0.13,0.2,0.174,0.374,-0.006,-4.7,129170
31,주효상,23 C,-0.53,19,-0.53,0.0,36,34,32,2,2,0,0,0,2,1,0,0,2,0,0,10,1,2,0,0.063,0.118,0.063,0.181,-0.082,-72.3,125670
32,한승택,23 C,-0.58,49,-0.48,-0.11,104,98,85,6,11,2,0,0,13,3,0,0,11,2,0,32,1,6,0,0.129,0.245,0.153,0.398,0.017,15.0,111190
1,알포드,23 LF,3.85,133,3.45,0.4,547,546,491,83,142,31,3,15,224,70,17,4,47,6,1,140,6,0,3,0.289,0.356,0.456,0.812,0.15,123.5,151448
2,장성우,23 C,3.29,131,3.15,0.14,464,460,410,37,118,22,0,11,173,65,1,1,42,2,1,70,12,3,7,0.288,0.351,0.422,0.773,0.136,110.5,102358
3,황재균,23 3B,3.14,109,2.7,0.44,457,454,407,62,120,26,2,6,168,49,3,3,45,1,1,64,15,3,1,0.295,0.366,0.413,0.779,0.142,116.0,104078
4,박병호,23 1B,2.66,132,1.91,0.75,493,493,431,53,122,15,0,18,191,87,2,0,46,8,2,114,9,0,8,0.283,0.357,0.443,0.8,0.144,118.2,104708
5,김민혁,23 RF,2.55,113,1.79,0.76,448,441,397,68,118,20,3,3,153,41,11,4,36,3,0,48,4,7,5,0.297,0.356,0.385,0.741,0.128,104.9,113398
6,김상수,23 SS,2.28,129,2.7,-0.43,512,504,443,58,120,19,1,3,150,56,5,6,55,3,0,68,9,8,3,0.271,0.353,0.339,0.692,0.116,95.3,103208
7,배정대,23 CF,1.67,97,1.66,0.01,361,356,311,48,86,16,0,2,108,38,13,3,38,3,1,76,2,4,5,0.277,0.356,0.347,0.703,0.118,96.8,112128
8,이호연,23 2B,0.99,85,0.77,0.22,234,233,212,28,59,5,1,3,75,17,4,2,16,4,0,41,6,1,1,0.278,0.339,0.354,0.693,0.111,90.4,131518
9,강백호,23 DH,0.74,71,0.85,-0.12,271,269,238,32,63,10,1,8,99,39,3,0,31,0,4,55,1,0,2,0.265,0.347,0.416,0.763,0.131,106.5,131688
10,오윤석,23 1B,0.55,82,0.35,0.21,223,216,199,24,50,13,1,4,77,17,3,1,13,5,1,44,7,6,0,0.251,0.313,0.387,0.7,0.11,90.7,113978
11,정준영,23 CF,0.38,34,0.16,0.22,55,51,48,6,14,2,0,0,16,6,0,0,3,0,0,11,1,4,0,0.292,0.333,0.333,0.666,0.1,80.7,155198
12,신본기,23 SS,0.28,40,0.23,0.05,75,74,54,8,11,2,0,1,16,7,0,1,14,2,0,8,3,1,4,0.204,0.365,0.296,0.661,0.117,94.9,108408
