Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,pid,연봉(만원),WAR,WAR당 연봉,bat_G,PA,ePA,AB,R_y,H_y,2B_y,3B_y,HR_y,RBI,SB,CS,BB_y,HP_y,IB_y,SO_y,GDP,SH,SF,팀
유로결,우익수,14,8,80.0,12,1,0,1.46,0.59,3.16,14126,3300,-0.45,-7413,27,53,52,48,5,7,1,0,0,5,1,0,1,1,0,10,3,1,2,한화 이글스
유상빈,우익수,1,1,8.0,1,0,0,1.13,0.24,11.74,15141,3300,-0.03,-127240,3,8,8,6,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,한화 이글스
장진혁,좌익수,27,17,153.2,32,1,1,1.93,0.72,1.53,12583,6000,-0.44,-13624,68,178,178,162,24,36,5,1,0,12,5,4,15,0,0,41,3,0,1,한화 이글스
오선진,1루수,6,2,25.0,20,1,0,7.56,0.3,0.48,10557,10000,0.02,472498,90,199,196,165,17,38,6,0,0,14,2,0,24,5,0,34,7,3,2,한화 이글스
오선진,3루수,30,13,127.0,12,24,2,2.55,-0.01,-0.01,10557,10000,0.02,472498,90,199,196,165,17,38,6,0,0,14,2,0,24,5,0,34,7,3,2,한화 이글스
장진혁,우익수,17,6,79.0,17,0,0,1.94,0.27,0.57,12583,6000,-0.44,-13624,68,178,178,162,24,36,5,1,0,12,5,4,15,0,0,41,3,0,1,한화 이글스
권광민,우익수,3,0,4.0,1,0,0,2.25,-0.15,-0.33,13676,3100,-1.03,-2999,66,81,80,73,11,11,1,1,2,9,2,0,6,1,0,24,2,1,0,한화 이글스
노시환,1루수,3,0,4.0,2,1,0,6.75,-0.16,-0.18,14125,13100,6.82,1920,131,595,590,514,85,153,30,1,31,101,2,1,74,4,5,118,13,0,3,한화 이글스
장운호,좌익수,1,1,6.0,1,0,0,1.5,-0.21,-7.42,11122,5000,-0.08,-63382,4,11,11,9,1,2,0,0,0,1,0,0,2,0,0,2,0,0,0,한화 이글스
이원석,우익수,12,2,42.1,8,0,0,1.7,-0.1,-0.17,13138,3300,0.25,12947,81,138,138,116,20,22,1,1,0,8,13,3,21,1,0,33,3,0,0,한화 이글스
김태연,1루수,32,23,191.0,189,12,1,9.47,1.41,2.24,12585,6000,1.41,4268,91,280,278,245,25,64,13,0,4,25,5,1,27,3,1,59,3,1,4,한화 이글스
이도윤,3루수,3,0,6.0,1,1,0,3.0,-0.31,-0.42,11414,3400,2.27,1501,106,346,331,309,36,78,13,2,1,13,11,3,18,4,1,55,6,15,0,한화 이글스
이성곤,1루수,1,0,3.0,3,0,0,9.0,-0.42,-7.6,11206,4800,-0.2,-24185,8,16,15,14,2,2,0,0,0,0,0,0,1,0,0,3,0,1,0,한화 이글스
이명기,우익수,2,1,9.0,3,0,0,3.0,-0.46,-4.76,10119,5000,-0.29,-17008,14,42,42,40,2,7,1,0,0,5,1,0,2,0,0,9,0,0,0,한화 이글스
권광민,좌익수,27,6,97.2,20,0,0,1.84,-0.19,-0.42,13676,3100,-1.03,-2999,66,81,80,73,11,11,1,1,2,9,2,0,6,1,0,24,2,1,0,한화 이글스
박정현,3루수,12,6,53.0,9,5,2,2.38,-0.55,-1.5,14704,4200,-0.33,-12799,53,113,110,105,12,19,6,0,2,4,0,0,3,2,0,36,2,3,0,한화 이글스
