Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
13,이지영,25 C,0.285,41,33,292.2,307,287,19,1,99.7,9.41,-0.22,,0.51,,-0.19,-1.16,1.02,,-0.34,-1.1,3.14,2.8,-0.035,0.285,포수
14,김기연,25 C,0.208,46,23,253.0,222,207,13,2,99.1,7.83,0.25,,-0.14,,-0.89,-0.21,0.38,,-0.71,-1.94,2.76,2.05,-0.073,0.208,포수
15,김재성,25 C,0.182,33,19,145.2,133,122,11,0,100.0,8.22,-0.06,,0.51,,0.06,0.82,-1.42,,0.32,1.42,1.46,1.79,0.033,0.182,포수
16,한준수,25 C,0.17,53,32,309.2,292,266,24,2,99.3,8.43,0.57,,0.06,,0.44,-0.26,-3.72,,-1.78,-4.28,3.46,1.67,-0.182,0.17,포수
17,김동헌,25 C,0.157,34,15,147.0,122,116,5,1,99.2,7.41,-0.15,,0.0,,0.4,-1.44,1.88,,0.12,0.5,1.42,1.54,0.013,0.157,포수
18,이병헌,25 C,0.138,21,9,78.2,72,68,3,1,98.6,8.12,0.15,,-0.23,,0.06,0.16,0.9,,0.76,5.19,0.6,1.36,0.077,0.138,포수
19,김재현,25 C,0.134,51,34,288.0,244,221,20,3,98.8,7.53,-0.21,,-0.52,,-0.34,0.74,-1.24,,-1.21,-3.41,2.52,1.31,-0.123,0.134,포수
20,손성빈,25 C,0.125,20,2,56.0,40,37,3,0,100.0,6.43,-0.09,,0.19,,,-0.11,1.08,,0.75,5.15,0.48,1.23,0.077,0.125,포수
21,조대현,25 C,0.115,34,12,131.0,116,110,5,1,99.1,7.9,-0.09,,-0.05,,0.06,0.0,0.2,,0.05,0.19,1.08,1.13,0.005,0.115,포수
22,한승택,25 C,0.094,10,5,50.0,42,34,8,0,100.0,7.56,0.41,,0.17,,0.06,0.21,-0.49,,0.51,6.14,0.41,0.92,0.052,0.094,포수
23,신범수,25 C,0.068,16,5,54.1,51,49,2,0,100.0,8.45,-0.09,,0.19,,,0.02,0.03,,0.14,0.93,0.53,0.66,0.014,0.068,포수
24,김정호,25 C,0.042,7,3,30.0,29,27,2,0,100.0,8.7,-0.09,,0.1,,,-0.17,0.47,,0.17,3.52,0.24,0.41,0.017,0.042,포수
25,이주헌,25 C,0.011,43,29,229.1,218,206,10,2,99.1,8.48,-0.53,,-0.22,,,-0.04,-2.24,,-2.36,-6.8,2.47,0.11,-0.24,0.011,포수
26,강백호,25 C,0.008,5,4,32.2,25,22,2,1,96.0,6.61,0.0,,-0.39,,,0.98,-1.3,,-0.33,-1.08,0.41,0.08,-0.034,0.008,포수
