Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
59,박관우,25 LF,-0.03,5,0.15,-0.18,6,6,6,2,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.333,0.333,0.833,1.166,0.248,226.4,-0.03
60,김석환,25 LF,-0.04,30,0.17,-0.21,80,80,73,9,20,1,2,1,28,13,0,0,6,1,0,34,0,0,0,0.274,0.338,0.384,0.722,0.121,104.8,-0.04
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
61,최승민,25 LF,-0.04,3,-0.01,-0.03,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.166,-151.2,-0.04
62,원성준,25 LF,-0.04,22,0.03,-0.07,50,50,44,5,8,1,0,2,15,4,0,0,6,0,0,16,1,0,0,0.182,0.280,0.341,0.621,0.087,80.5,-0.04
63,김병준,25 LF,-0.05,9,-0.05,0.01,5,5,5,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400,-0.014,-11.6,-0.05
64,카디네스,25 RF,-0.05,53,0.52,-0.57,222,222,189,21,45,8,1,5,70,25,1,2,25,6,1,43,6,0,2,0.238,0.342,0.370,0.712,0.121,110.5,-0.05
65,김대한,25 CF,-0.05,12,-0.07,0.02,25,25,25,1,5,0,0,1,8,1,0,0,0,0,0,3,0,0,0,0.200,0.200,0.320,0.520,0.025,22.2,-0.05
66,안치영,25 LF,-0.06,20,-0.12,0.07,14,12,8,1,0,0,0,0,0,2,0,1,2,1,0,5,1,2,1,0.000,0.250,0.000,0.250,0.008,6.9,-0.06
67,박한결,25 LF,-0.07,8,0.01,-0.08,19,19,17,2,2,0,0,2,8,3,0,0,2,0,0,8,0,0,0,0.118,0.211,0.471,0.682,0.092,75.6,-0.07
68,김헌곤,25 RF,-0.07,40,-0.01,-0.06,121,119,110,17,29,5,0,2,40,6,2,1,5,4,0,17,4,2,0,0.264,0.319,0.364,0.683,0.101,80.2,-0.07
69,김건형,25 LF,-0.09,2,-0.03,-0.06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.166,-136.6,-0.09
70,박수종,25 CF,-0.10,29,-0.34,0.24,40,40,39,3,6,0,0,1,9,2,1,0,1,0,0,12,0,0,0,0.154,0.175,0.231,0.406,-0.010,-9.0,-0.10
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
71,이민재,25 RF,-0.12,3,-0.12,0.00,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.000,0.000,0.000,0.000,-0.166,-131.9,-0.12
72,전다민,25 CF,-0.14,18,-0.16,0.02,11,11,11,5,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0.091,0.091,0.091,0.182,-0.097,-84.1,-0.14
73,고승완,25 CF,-0.14,7,-0.02,-0.12,4,4,4,3,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,0.024,21.8,-0.14
74,임종찬,25 RF,-0.14,17,-0.12,-0.02,35,35,30,2,5,1,0,1,9,2,2,0,5,0,0,13,0,0,0,0.167,0.286,0.300,0.586,0.082,67.4,-0.14
75,오태양,25 CF,-0.14,8,-0.02,-0.12,9,9,8,2,2,0,0,0,2,0,1,1,1,0,0,2,0,0,0,0.250,0.333,0.250,0.583,0.083,70.0,-0.14
76,최상민,25 RF,-0.15,23,-0.03,-0.12,9,9,7,5,1,0,0,0,1,1,1,1,1,1,0,5,0,0,0,0.143,0.333,0.143,0.476,0.070,59.9,-0.15
77,장진혁,25 CF,-0.15,46,-0.31,0.16,76,76,72,10,15,3,1,0,20,7,1,0,4,0,0,21,1,0,0,0.208,0.250,0.278,0.528,0.044,37.1,-0.15
78,김재혁,25 CF,-0.16,5,-0.01,-0.15,3,3,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.333,0.000,0.333,0.075,54.7,-0.16
79,맥브룸,25 RF,-0.17,22,-0.25,0.08,80,78,74,8,15,3,0,4,30,11,0,0,5,1,2,28,2,0,0,0.203,0.263,0.405,0.668,0.077,63.9,-0.17
80,조세진,25 CF,-0.17,9,-0.06,-0.11,8,8,7,1,1,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0.143,0.250,0.143,0.393,0.019,15.0,-0.17
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
