선수,연봉(만원),WAR,WAR당 연봉,팀,pid,연도,팀연봉순위,전체연봉순위
스트레일리,90000,4.37,20594,롯데 자이언츠,14627,2021,1,12
이대호,80000,0.88,91238,롯데 자이언츠,10251,2021,2,18
민병헌,50000,-0.69,-72463,롯데 자이언츠,10188,2021,3,40
마차도,50000,4.24,11779,롯데 자이언츠,14629,2021,4,41
전준우,50000,3.84,13027,롯데 자이언츠,10266,2021,5,42
손아섭,50000,2.73,18294,롯데 자이언츠,10261,2021,6,43
안치홍,29000,2.94,9863,롯데 자이언츠,10014,2021,7,84
프랑코,24500,2.10,11678,롯데 자이언츠,14756,2021,8,101
노경은,20000,-0.20,-100203,롯데 자이언츠,10203,2021,9,109
김원중,17000,1.86,9124,롯데 자이언츠,10825,2021,10,125
박세웅,16500,5.23,3155,롯데 자이언츠,11310,2021,11,132
구승민,15000,1.38,10881,롯데 자이언츠,11291,2021,12,144
박진형,12000,-0.33,-36160,롯데 자이언츠,11425,2021,13,160
한동희,11000,2.87,3839,롯데 자이언츠,13145,2021,14,168
정훈,10000,3.11,3217,롯데 자이언츠,10253,2021,15,182
강윤구,10000,-0.25,-39506,롯데 자이언츠,10423,2021,16,183
서준원,8500,-0.30,-28187,롯데 자이언츠,14159,2021,17,208
오현택,7500,-0.13,-58530,롯데 자이언츠,10210,2021,18,228
진명호,7500,0.20,37698,롯데 자이언츠,10301,2021,19,229
김건국,6000,0.03,203822,롯데 자이언츠,12944,2021,20,267
이병규,5500,0.05,109079,롯데 자이언츠,10477,2021,21,287
송승준,5000,-,-,롯데 자이언츠,10285,2021,22,301
김대우,5000,0.15,33749,롯데 자이언츠,10271,2021,23,302
이인복,4800,1.24,3869,롯데 자이언츠,11232,2021,24,316
정성종,4800,-0.08,-56981,롯데 자이언츠,13147,2021,25,317
안중열,4700,1.86,2527,롯데 자이언츠,11329,2021,26,318
김유영,4500,-0.17,-26803,롯데 자이언츠,11229,2021,27,324
나균안,4300,0.05,83303,롯데 자이언츠,12930,2021,28,337
최준용,4200,2.12,1985,롯데 자이언츠,14624,2021,29,342
이승헌,4200,0.73,5756,롯데 자이언츠,13146,2021,30,343
김재유,4200,0.39,10763,롯데 자이언츠,11483,2021,31,344
정보근,3700,-0.14,-26948,롯데 자이언츠,13154,2021,32,373
강로한,3700,-0.10,-37820,롯데 자이언츠,11389,2021,33,374
강동호,3500,0.00,7950408,롯데 자이언츠,12927,2021,34,386
지시완,3500,1.36,2570,롯데 자이언츠,11413,2021,35,387
최영환,3500,0.24,14571,롯데 자이언츠,11276,2021,36,388
추재현,3400,1.18,2877,롯데 자이언츠,13094,2021,37,406
