Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,,
2,유강남,21 C,1.024,129,117,961.0,897,829,65,3,99.7,8.37,-1.21,,2.61,,-0.42,0.59,-2.26,,-0.01,-0.01,10.34,10.33,-0.001,1.024,LG 트윈스,10753
3,김민성,21 3B,0.648,117,107,854.0,237,54,176,7,97.0,2.42,5.54,,0.64,0.22,0.14,,,,6.54,7.78,0.0,6.54,0.648,0.648,LG 트윈스,10238
4,서건창,21 2B,0.465,62,58,463.2,237,115,121,1,99.6,4.58,1.93,,0.09,0.23,,,,,2.25,2.25,2.44,4.69,0.223,0.465,LG 트윈스,10855
5,김용의,21 1B,0.333,79,3,155.2,169,153,15,1,99.4,9.71,3.88,,0.13,,0.07,,,,4.07,5.75,-0.72,3.35,0.404,0.333,LG 트윈스,10466
6,김재성,21 C,0.227,55,16,198.2,176,162,13,1,99.4,7.93,0.16,,0.14,,0.14,-0.16,0.49,,0.63,1.56,1.66,2.29,0.062,0.227,LG 트윈스,11344
7,정주현,21 2B,0.224,72,67,505.0,310,110,188,12,96.1,5.31,0.28,,-0.36,0.22,,,,,0.13,0.27,2.12,2.25,0.013,0.224,LG 트윈스,10480
8,구본혁,21 SS,0.222,44,6,113.1,66,17,48,1,98.5,5.16,0.45,,0.18,1.11,,,,,1.74,2.03,0.5,2.24,0.172,0.222,LG 트윈스,14140
9,홍창기,21 RF,0.187,31,23,206.2,47,46,1,0,100.0,2.05,1.9,0.8,0.29,,,,,,2.98,2.98,-1.09,1.89,0.295,0.187,LG 트윈스,12546
10,구본혁,21 3B,0.178,35,1,62.2,21,6,15,0,100.0,3.02,0.74,,0.05,0.53,0.48,,,,1.8,2.1,0.0,1.8,0.178,0.178,LG 트윈스,14140
11,이상호,21 3B,0.151,12,3,50.0,15,3,12,0,100.0,2.7,1.86,,0.04,-0.38,,,,,1.52,4.88,0.0,1.52,0.151,0.151,LG 트윈스,11147
12,이성우,21 C,0.15,34,11,112.2,107,101,5,1,99.1,8.47,-0.14,,-0.13,,0.14,-0.43,1.77,,0.67,2.69,0.84,1.51,0.067,0.15,LG 트윈스,10004
13,문성주,21 CF,0.146,5,4,34.0,14,14,0,0,100.0,3.71,2.04,-0.61,0.03,,,,,,1.47,6.82,0.0,1.47,0.146,0.146,LG 트윈스,13112
14,이주형,21 1B,0.126,4,3,22.0,25,24,1,0,100.0,10.23,1.43,,0.02,,,,,,1.45,14.91,-0.18,1.27,0.144,0.126,LG 트윈스,14591
15,문성주,21 RF,0.12,6,5,30.0,8,8,0,0,100.0,2.4,1.31,0.01,0.04,,,,,,1.36,6.33,-0.15,1.21,0.135,0.12,LG 트윈스,13112
16,홍창기,21 LF,0.117,8,1,20.0,7,7,0,0,100.0,3.15,1.31,-0.07,0.02,,,,,,1.25,1.25,-0.07,1.18,0.124,0.117,LG 트윈스,12546
17,문보경,21 3B,0.108,54,31,270.2,93,26,64,3,96.8,2.99,1.22,,0.2,-0.38,0.04,,,,1.09,1.46,0.0,1.09,0.108,0.108,LG 트윈스,14137
18,이재원,21 CF,0.091,2,1,9.0,5,5,0,0,100.0,5.0,0.44,0.47,0.01,,,,,,0.92,2.14,0.0,0.92,0.091,0.091,LG 트윈스,13104
19,이재원,21 LF,0.083,20,18,140.0,32,30,2,0,100.0,2.06,1.17,0.16,0.13,,,,,,1.46,3.4,-0.62,0.84,0.145,0.083,LG 트윈스,13104
20,이천웅,21 LF,0.065,26,12,139.1,29,29,0,0,100.0,1.87,0.8,0.41,0.13,,,,,,1.33,2.82,-0.68,0.65,0.132,0.065,LG 트윈스,10935
21,이재원,21 RF,0.045,35,22,217.0,50,49,1,0,100.0,2.07,1.49,-0.39,0.3,,,,,,1.4,3.26,-0.95,0.45,0.139,0.045,LG 트윈스,13104
22,김호은,21 1B,0.034,2,1,9.0,11,9,2,0,100.0,11.0,0.42,,0.01,,,,,,0.43,8.78,-0.08,0.35,0.042,0.034,LG 트윈스,12554
23,김용의,21 CF,0.027,1,0,2.0,1,1,0,0,100.0,4.5,0.27,,0.0,,,,,,0.27,0.38,0.0,0.27,0.027,0.027,LG 트윈스,10466
24,신민재,21 CF,0.017,8,0,17.0,4,4,0,0,100.0,2.12,0.36,-0.21,0.02,,,,,,0.17,0.79,0.0,0.17,0.017,0.017,LG 트윈스,13056
