Rank,Name,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼
185,강건,25 P,-0.1,1,1,0,0,0,0,0,1,0,0,3.0,4,4,4.0,16,2,0,0,0,5,0,0,0,0,0,0,12.0,12.0,12.0,11.68,9.17,2.33,-0.1
186,이정현,25 P,-0.11,4,0,4,4,0,0,0,0,0,0,2.2,4,4,4.0,16,5,0,0,0,2,1,0,2,0,0,0,13.5,13.5,13.5,13.21,5.56,2.63,-0.11
187,정우영,25 P,-0.11,4,0,4,1,0,0,0,0,0,0,2.2,6,6,3.25,13,1,0,0,1,4,1,0,3,0,0,0,20.25,20.25,10.97,11.28,11.49,1.88,-0.11
188,원종혁,25 P,-0.11,2,0,2,1,0,0,0,0,0,0,1.2,3,3,3.5,10,3,0,0,1,2,0,0,1,0,0,0,16.2,16.2,18.9,18.55,6.18,3.0,-0.11
189,최우석,25 P,-0.11,3,0,3,1,0,0,0,0,0,0,3.2,3,5,5.0,21,6,1,0,0,3,0,0,2,0,0,1,7.36,12.27,12.27,12.36,5.09,2.45,-0.11
190,이도현,25 P,-0.12,1,1,0,0,0,0,0,1,0,0,3.0,4,4,4.0,17,4,2,0,1,5,0,0,1,0,0,1,12.0,12.0,12.0,12.46,12.3,3.0,-0.12
191,전사민,25 P,-0.12,39,0,39,3,0,0,2,5,1,6,39.1,23,26,26.0,185,47,4,2,2,20,6,3,22,5,0,5,5.26,5.95,5.95,5.85,4.91,1.7,-0.12
192,박진형,25 P,-0.13,4,0,4,1,0,0,0,0,0,0,2.2,5,5,3.95,17,6,2,0,1,3,0,0,3,0,0,0,16.88,16.88,13.33,12.96,9.09,3.38,-0.13
193,홍원빈,25 P,-0.14,2,0,2,1,0,0,0,0,0,0,1.2,5,5,3.45,11,2,0,0,0,4,0,0,1,0,0,2,27.0,27.0,18.63,19.55,10.02,3.6,-0.14
194,최준호,25 P,-0.14,8,3,5,1,0,0,1,2,0,0,15.2,15,15,14.15,73,18,5,0,4,9,2,0,10,0,0,2,8.62,8.62,8.13,7.92,7.52,1.72,-0.14
195,오승환,25 P,-0.14,11,0,11,4,0,0,0,0,0,0,8.2,8,8,7.35,44,15,5,0,1,3,0,0,6,0,0,1,8.31,8.31,7.63,7.89,4.59,2.08,-0.14
196,김민주,25 P,-0.15,3,0,3,0,0,0,0,0,0,0,3.0,4,4,3.85,17,4,1,1,0,2,2,0,2,0,0,0,12.0,12.0,11.55,12.09,6.44,2.0,-0.15
197,손힘찬,25 P,-0.15,4,0,4,2,0,0,0,0,0,0,4.0,5,5,4.65,22,5,2,0,0,4,1,0,4,0,0,1,11.25,11.25,10.46,12.12,5.34,2.25,-0.15
