,Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉(만원)
295,권민석,23 SS,-0.038,2,0,4.0,0,0,0,0,,0.0,-0.14,0.0,0.01,-0.26,0.0,,0.0,0.0,-0.39,-28.08,0.02,-0.37,-0.04,130791,-0.08,1,-0.04,-0.04,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.167,-154.8,3100
296,김대한,23 RF,-0.709,31,21,189.0,39,35,1,3,0.923,1.714,-4.27,-0.76,-1.12,0.0,0.0,,0.0,0.0,-6.15,-28.568,-0.803,-6.953,-0.627,141701,-0.87,33,-0.24,-0.63,89,89,81,10,16,3,1,1,24,7,1,3,7,1,0,21,0,0,0,0.198,0.27,0.296,0.566,0.064,56.9,4500
297,로하스,23 LF,-0.985,100,93,738.0,165,159,4,2,0.988,1.988,-8.15,-0.19,0.85,0.0,0.0,,0.0,0.0,-7.49,-10.786,-2.164,-9.654,-0.764,155391,2.51,122,3.27,-0.76,464,463,403,52,102,24,4,19,191,65,0,1,55,3,2,68,5,0,3,0.253,0.345,0.474,0.819,0.151,133.5,85000
298,안치홍,23 2B,-0.252,127,109,910.0,600,376,220,4,0.993,5.895,-5.64,0.0,1.28,-0.25,0.0,,0.0,0.0,-4.54,-5.148,2.07,-2.47,-0.463,100142,2.3,121,2.77,-0.46,494,487,425,57,124,20,1,8,170,63,3,3,49,10,3,53,14,5,5,0.292,0.374,0.4,0.774,0.142,117.5,50000
299,한유섬,23 RF,-0.882,90,77,662.0,131,122,5,4,0.969,1.727,-5.28,-0.13,-0.71,0.0,0.0,,0.0,0.0,-6.12,-9.792,-2.526,-8.646,-0.624,108154,0.82,109,1.44,-0.62,388,386,333,29,91,15,2,7,131,55,2,1,34,12,1,81,3,2,7,0.273,0.355,0.393,0.748,0.132,109.8,50000
300,김정민,23 RF,-0.062,6,0,9.0,2,2,0,0,1.0,2.0,-0.53,-0.07,0.02,0.0,0.0,,0.0,0.0,-0.59,-14.16,-0.017,-0.607,-0.06,154634,-0.03,8,0.03,-0.06,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.222,180.0,3000
301,최경모,23 3B,-0.262,22,4,69.0,33,13,15,5,0.848,3.652,-1.9,0.0,-0.82,0.14,0.0,,0.0,0.0,-2.58,-16.887,0.009,-2.571,-0.263,141514,-0.49,28,-0.23,-0.26,20,20,20,6,3,0,0,0,3,1,2,0,0,0,0,5,0,0,0,0.15,0.15,0.15,0.3,-0.05,-41.8,5000
302,최주환,23 2B,-0.501,125,103,833.0,600,396,195,9,0.985,6.385,-5.96,0.0,-0.49,0.71,0.0,,0.0,0.0,-5.54,-6.382,0.625,-4.915,-0.565,101824,0.97,134,1.53,-0.56,478,474,426,48,100,24,0,20,184,63,0,0,44,4,4,94,6,1,3,0.235,0.31,0.432,0.742,0.12,99.3,65000
303,김주원,23 SS,0.842,133,122,1045.0,539,187,322,30,0.944,4.384,0.98,0.0,-2.49,0.83,0.0,,0.0,0.0,-0.67,-0.725,8.92,8.25,-0.068,147655,2.23,127,2.3,-0.07,474,466,403,56,94,9,2,10,137,54,15,3,44,15,1,106,6,8,4,0.233,0.328,0.34,0.668,0.106,89.8,9000
304,강현우,23 C,0.227,47,24,236.0,189,176,11,2,0.989,7.131,-0.56,0.0,-0.38,0.0,-0.41,,1.38,0.0,-0.19,-0.582,2.417,2.227,-0.019,146038,-0.27,53,-0.26,-0.02,111,110,103,11,20,6,0,1,29,11,0,1,6,1,0,17,3,1,0,0.194,0.245,0.282,0.527,0.046,38.1,3000
305,황재균,23 3B,0.436,109,103,900.0,259,83,165,11,0.958,2.48,3.52,0.0,1.09,-0.21,0.0,,0.0,0.0,4.27,5.641,0.001,4.271,0.436,104078,3.14,109,2.7,0.44,457,454,407,62,120,26,2,6,168,49,3,3,45,1,1,64,15,3,1,0.295,0.366,0.413,0.779,0.142,116.0,100000
